prov_id,names,owner,population
15945,Bujumbura,BRU,1403419
606,Bijeljina,BSH,
6614,Bihać,BSH,
6619,Prijedor,BSH,
6799,Tuzla,BSH,55006
6957,Livno,BSH,
6983,Banja Luka,BSH,90140
9591,Doboj,BSH,
9894,Mostar,BSH,
11572,Zenica,BSH,65296
11574,Brčko,BSH,66146
11741,Srebrenica,BSH,
11845,Trebinje,BSH,
13860,Sarajevo,BSH,235739
793,Knezha,BUL,
878,Kǎrdzhali,BUL,
893,Smolyan,BUL,
935,Pernik,BUL,
965,Vratsa,BUL,
3796,Pleven,BUL,
3819,Gabrovo,BUL,
3937,Velingrad,BUL,
6814,Stara Zagora,BUL,77342
6842,Veliko Tǎrnovo,BUL,
6857,Blagoevgrad,BUL,
6967,Sliven,BUL,
6982,Pazardzhik,BUL,
9610,Ruse,BUL,83022
9614,Silistra,BUL,
9771,Vidin,BUL,
9783,Shumen,BUL,
9862,Khaskovo,BUL,
9888,Yambol,BUL,
9919,Burgas,BUL,102154
11597,Bazargic; Dobrich,BUL,
15137,Varna,BUL,286140
15138,Plovdiv,BUL,331578
15139,Sofia; Sofiya,BUL,1068057
15140,Mezhdunarodno Letishche Sofiya; Sofia International Airport,BUL,
634,Fredericton,CAN,
749,Niagra Falls,CAN,75875
1262,Lethbridge,CAN,63048
1323,Kamloops,CAN,
1788,Estevan,CAN,
1873,Steinbach,CAN,
3605,Kingston,CAN,88900
3769,Swift Current,CAN,
3775,Toronto,CAN,5566382
3778,Ottawa,CAN,604618
4285,St. John,CAN,
4360,Charlottetown,CAN,
4428,Abbotsford,CAN,110036
6610,Owen Sound,CAN,
7304,Truro,CAN,
7753,Chilliwack,CAN,
7893,Saguenay,CAN,
7899,Thunder Bay,CAN,
9601,Trois-Rivières,CAN,97591
9740,Fort Albany,CAN,
10174,St. Georges,CAN,
10230,Sherbrooke,CAN,87477
11902,Rouyn-Noranda,CAN,
12145,Brandon,CAN,
12259,Port Hardy,CAN,
12505,St. John's,CAN,75023
12571,Prince George,CAN,
12578,Kelowna,CAN,72915
12582,Sault Ste. Marie,CAN,51849
12603,Regina,CAN,241949
13607,Toronto Pearson International Airport,CAN,
13608,Gatineau,CAN,119332
13613,Hamilton,CAN,446367
13614,London,CAN,365269
13615,Montreal; Montréal,CAN,3221844
13619,Quebec City; Ville de Québec,CAN,
13621,Winnipeg,CAN,752808
13625,Calgary,CAN,1524649
13627,Calgary International Airport,CAN,
13630,Edmonton,CAN,1144486
13635,Medicine Hat,CAN,
13639,Nanaimo,CAN,78391
13640,Victoria,CAN,250760
13642,Vancouver,CAN,2198107
14003,Halifax,CAN,227622
14046,Windsor,CAN,244810
3601,Karlovac,CRO,
3868,Dubrovnik,CRO,
3943,Zadar,CRO,68048
6611,Gospić,CRO,
6647,Osijek,CRO,69144
9595,Slavonski Brod,CRO,
9611,Varaždin,CRO,
11564,Rijelka,CRO,
11735,Pular,CRO,
13252,Čakovec,CRO,
13844,Split,CRO,215968
13846,Zagreb,CRO,643962
13848,Franjo Tuđman International Airport; Zračna luka Franjo Tuđman Zagreb,CRO,
4476,Camagüey,CUB,286045
4600,Pinar del Río,CUB,150119
7451,Santa Clara,CUB,222229
12347,Holguín,CUB,313757
15372,Havana; La Habana,CUB,1632772
15374,Aeropuerto Internacional José Martí; José Martí international Airport,CUB,
15375,Santiago de Cuba,CUB,441985
7193,Lemesós; Limasol; Limassol,CYP,191161
15490,Lefkosía; Lefkoşa; Nicosia,CYP,
421,Šumperk,CZE,
445,Hradec Králové,CZE,68044
557,Znojmo,CZE,
569,Třebíč,CZE,
3569,Brno,CZE,313582
3583,Ostrava,CZE,150766
6470,Karlovy Vary,CZE,
6562,Olomouc,CZE,82848
6576,Zlín,CZE,
6592,Plzeň,CZE,
9414,Liberec,CZE,86841
9421,Příbram,CZE,
9541,České Budějovice,CZE,83564
11432,Ústí nad Labem,CZE,59097
11542,Prag; Prague; Praha,CZE,1201278
11556,Jihlava,CZE,
14084,Flughafen Prag; Letiště Václava Havla; Václav Havel Airport,CZE,
394,Hjørring,DMK,
399,Esbjerg,DMK,
3206,Randers,DMK,
3260,Slagelse,DMK,
3277,Kolding,DMK,
3305,Nykøbing Falster,DMK,
3341,Herning,DMK,
6235,Aalborg,DMK,101029
6287,Copenhagen; København,DMK,1258202
6361,Rønne,DMK,
6393,Roskilde,DMK,
13003,Tórshavn,DMK,
13262,Holstebro,DMK,
15090,Sisimiut,DMK,
15091,Nuuk,DMK,
15098,Qaqortoq,DMK,
15099,Aarhus,DMK,252649
15100,Odense,DMK,147088
15102,Copenhagen Airport; Københavns Lufthavn,DMK,
4598,Puerto Plata,DMR,128131
7632,Barahona,DMR,
7660,La Romana,DMR,248412
15938,Santo Domingo,DMR,4593164
15939,Aeropuerto Internacional Las Américas; Las Américas International Airport,DMR,
15942,Santiago de los Caballeros,DMR,678296
848,Wonsan; Wŏnsan,DPK,370729
3803,Hyesan,DPK,241782
3912,Huichon; Hŭich'ŏn,DPK,144337
4052,Namp'o; Nampo,DPK,144643
4107,Haeju,DPK,263992
6922,Tanch'ŏn; Tanchon,DPK,77317
6944,Rason; Rasŏn,DPK,128331
7070,Koksan,DPK,93927
9790,Kaech'ŏn; Kaechon,DPK,200016
11828,Kanggye,DPK,314915
11835,Sinuiju; Sinŭiju,DPK,308840
11915,Sariwon; Sariwŏn,DPK,401117
11958,Changchŏn; Jangjon,DPK,
12040,Kaesong; Kaesŏng,DPK,280963
14604,P'yŏngyang; Pyongyang,DPK,2868313
14605,P'yŏngyang Kukche Pihaengjang; Pyongyang Gukjegonghang; Pyongyang International Airport,DPK,
14607,Ch'ŏngjin; Chongjin,DPK,683870
14609,Hamhung; Hamhŭng,DPK,393816
1068,Al-Fayyūm; Faiyum,EGY,741406
1155,B'īr al-'Abd; Bir al-Abd,EGY,
1977,Halaib; Ḥalāyib,EGY,
4055,Al-Jīzah; Giza,EGY,
4068,Al-Quṣayr; Quseer,EGY,
4073,As-Suways; Suez,EGY,557510
4076,Al-Iskandariyah; Alexandria,EGY,6931369
5078,Mut,EGY,
7011,Cairo International Airport; Maṭār Al-Qāhirah Al-Dawli,EGY,
7079,As-Sallūm; Sallum,EGY,
7091,Kafr Ash-Shaykh; Kafr El-Shaikh,EGY,
9947,Sharm El-Sheikh; Sharm ash-Shaykh,EGY,
10005,Al-Manṣūrah; Mansoura,EGY,
10099,Aṭ-Ṭūr; El-Tor,EGY,
11910,Aḍ-Ḍab'ah; El Dabaa,EGY,
11967,Marsa Matrouh; Marsā Maṭrūḥ,EGY,191313
11974,Asyut; Asyūṭ,EGY,1152515
11999,Aswan; Aswān,EGY,472978
12002,Al-Ghurdaqah; Hurghada,EGY,137973
12004,Al-Qāhirah; Cairo,EGY,25230325
12044,Sawhāj; Sohag,EGY,
12049,Būr Sa'īd; Port Said,EGY,874651
12071,Al-Uqṣur; Luxor,EGY,6314420
12764,Siwa; Sīwa,EGY,
14534,Al-Kharijah; Kharga,EGY,
14535,Būr Fo'ād; Fouad,EGY,
14537,Al-'Arīsh; Arish,EGY,115903
14540,Damietta; Dumyāṭ,EGY,727330
14542,Tanta; Ṭanṭā,EGY,941974
83,Haapsalu,EST,
185,Kuressaare,EST,
592,Võru,EST,
3174,Pärnu,EST,
6178,Viljandi,EST,
6408,Valga,EST,
9221,Tartu,EST,74087
11127,Rakvere,EST,
13833,Tallinn,EST,449861
13834,Tallinn Airport; Tallinna Lennujaam,EST,
13836,Varna,EST,
13093,San Miguel,ESV,165222
15358,San Salvador,ESV,1615741
32,Nokia,FIN,
66,Kokkola,FIN,
67,Lahti,FIN,57174
124,Rovaniemi,FIN,
169,Pori,FIN,
204,Turku,FIN,104248
3013,Mikkeli,FIN,
3122,Vaasa,FIN,
3125,Kajaani,FIN,
3161,Kouvola,FIN,
3172,Jakobstad,FIN,
6009,Porvoo,FIN,
6082,Lappeenranta,FIN,
6141,Äänekoski,FIN,
6163,Jämsä,FIN,
9038,Seinäjoki,FIN,
9061,Joensuu,FIN,
9104,Iisalmi,FIN,
9160,Jyväskylä,FIN,56663
9194,Salo,FIN,
9228,Mariehamn,FIN,
11066,Hämeenlinna,FIN,
11105,Helsinki,FIN,1001125
11121,Oulu,FIN,84384
11125,Tornio,FIN,
11141,Kuopio,FIN,
11211,Hanko,FIN,
15106,Helsinki-Vantaa Airport; Helsinki-Vantaan Lentoasema,FIN,
15108,Tampere,FIN,153567
373,Saint-Pierre,FRA,
485,Dieppe,FRA,
503,Angers,FRA,162720
542,Quipmer,FRA,
551,Sézanne,FRA,
553,Alençon,FRA,
595,Angoulême,FRA,54289
620,Limoges,FRA,105730
648,Chalon-sur-Saône,FRA,
667,Nevers,FRA,
678,Mulhouse; Mülhausen,FRA,187082
743,Bayonne,FRA,89012
762,Valence,FRA,71751
769,Brioude,FRA,
929,Condom,FRA,
3402,Saint-Quentin,FRA,
3495,Laval,FRA,
3509,Le Mans,FRA,140414
3549,Évreux,FRA,
3621,Guéret,FRA,
3655,Bourges,FRA,53520
3681,Auxerre,FRA,
3751,Albi,FRA,
3762,Gap,FRA,
3768,Grenoble,FRA,348043
3771,Brive-la-Gaillarde,FRA,
3838,Ajaccio,FRA,57575
5291,Verdun,FRA,
6449,Cherbourg-en-Cotentin,FRA,57244
6504,Arras,FRA,60903
6529,Colmar,FRA,64537
6533,Blois,FRA,
6536,Lorient,FRA,72374
6545,Châlons-en-Champagne,FRA,
6547,Chatres,FRA,66599
6585,Beauvais,FRA,
6613,Lyon,FRA,1194741
6766,Toulouse,FRA,712882
6770,Mende,FRA,
6773,Aurillac,FRA,
6775,Agen,FRA,
6777,Arcachon,FRA,
6917,Carcassonne,FRA,
6975,Guillestre,FRA,
9434,Le Havre,FRA,168169
9490,Troyes,FRA,101937
9503,Strasbourg; Straßburg,FRA,419245
9505,Saint-Dizier,FRA,
9525,Saint-Brieuc,FRA,56276
9559,Thionville,FRA,
9561,Compiègne,FRA,
9607,Vichy,FRA,
9629,Châteauroux,FRA,
9642,Besançon,FRA,98834
9658,Langres,FRA,
9725,Étampes,FRA,
9732,Le Puy-en-Velay,FRA,
9737,Bordeaux,FRA,642756
9751,Périgueux,FRA,
9853,Perpignan,FRA,124596
9909,Nice,FRA,393492
11420,Abbeville,FRA,
11465,Nantes,FRA,472262
11483,Lille,FRA,907123
11491,Montereau-Fault-Yonne,FRA,
11506,Paris,FRA,9328385
11516,Nancy,FRA,217203
11518,Meaux,FRA,52429
11535,Caen,FRA,149422
11573,Annecy,FRA,123116
11582,Ruffec,FRA,
11596,Poiters,FRA,93032
11600,La Roche-sur-Yon,FRA,
11613,Cholet,FRA,
11697,Pau,FRA,95976
11699,Tarbes,FRA,
11702,Montauban,FRA,
11709,Millau,FRA,
11711,Alès,FRA,
11713,Montélimar,FRA,
11834,Marseille,FRA,911934
11849,Avignon,FRA,78051
11875,Aix-en-Provence,FRA,81548
13011,Reims,FRA,190718
13935,Metz,FRA,139827
13990,Tourcoing,FRA,
13993,Lens,FRA,147145
13994,Dunkerque; Dunkirk,FRA,129033
13995,Calais,FRA,72072
13997,Amiens,FRA,102612
13999,Brest,FRA,127489
14000,Rennes,FRA,251924
14004,Rouen,FRA,309210
14010,Aéroport de Charles-de-Gaulle; Charles de Gaulle Airport,FRA,
14012,Versailles,FRA,
14016,Saint-Nazaire,FRA,56337
14020,Orléans,FRA,219332
14022,Tours,FRA,223834
14027,Aéroport de Toulouse–Blagnac; Toulouse-Blagnac Airport,FRA,
14029,Montpellier,FRA,337381
14030,Béziers,FRA,69194
14036,La Rochelle,FRA,84391
14038,Dijon,FRA,219337
14041,Aéroport de Lyon-Saint Exupéry; Lyon-Saint Exupéry Airport,FRA,
14044,Saint-Étienne,FRA,180472
14045,Clermont-Ferrand,FRA,203170
14048,Cannes,FRA,212941
14051,Toulon,FRA,290434
14053,Aéroport Marseille-Provence; Marseille Provence Airport,FRA,
385,Londonderry,GBR,
507,Crawley,GBR,106964
540,Plymouth,GBR,252928
3150,Dundee,GBR,158327
3241,Hereford,GBR,55483
3273,Glasgow Airport,GBR,
3274,Aberystwyth,GBR,
3311,Douglas,GBR,
3463,Exeter,GBR,110292
3501,Dover,GBR,
4135,Gibraltar,GBR,
6103,London,GBR,10408332
6196,Lerwick,GBR,
6318,Manchester,GBR,2539907
6335,Blackpool,GBR,189730
6350,Stranraer,GBR,
6351,Salisbury,GBR,
6526,Truro,GBR,
9075,Inverness,GBR,
9239,Oxford,GBR,168021
9268,Northampton,GBR,219781
9269,York,GBR,151629
9322,Boston,GBR,
9332,Harrogate,GBR,65246
9364,Wrexham,GBR,
9379,Leeds,GBR,1053955
9383,Falkirk,GBR,59626
11064,Kirkwall,GBR,
11161,Fort William,GBR,
11207,Elgin,GBR,
11218,Dumfries,GBR,
11221,Luton,GBR,268353
11253,Cambridge,GBR,136064
11297,Hull,GBR,321006
11299,Berwick-upon-Tweed,GBR,
11332,Carlisle,GBR,74911
11345,Stoke-on-Trent,GBR,329688
11378,Cockburnspath,GBR,
12960,Mount Pleasant,GBR,
13010,Hamilton,GBR,
13070,Maidstone,GBR,105233
13650,Belfast,GBR,437125
13653,Bournemouth,GBR,382597
13654,Newport,GBR,
13655,Basingstoke,GBR,109991
13656,Southampton,GBR,374413
13658,Portsmouth,GBR,480317
13659,Brighton,GBR,456337
13661,Reading,GBR,273287
13662,Heathrow Airport,GBR,
13666,Norwich,GBR,188535
13667,Chatham,GBR,
13668,Southend-on-Sea,GBR,265744
13671,Llanfairpwllgwyngyll,GBR,
13673,Cardiff,GBR,388460
13674,Newport,GBR,
13676,Swansea,GBR,150621
13679,Bristol,GBR,680809
13680,Gloucester,GBR,145718
13681,Liverpool,GBR,1243206
13685,Manchester Airport,GBR,
13689,Birmingham,GBR,2617211
13690,Wolverhampton,GBR,
13695,Nottingham,GBR,650703
13696,Derby,GBR,271899
13698,Leicester,GBR,527124
13700,Sheffield,GBR,665294
13702,Doncaster,GBR,125305
13708,Middlesbrough,GBR,351680
13710,Newcastle,GBR,
13711,Sunderland,GBR,180833
13713,Aberdeen,GBR,193155
13716,Edinburgh,GBR,530165
13719,Glasgow,GBR,992059
14184,Port Stanley,GBR,
14909,Grimsby,GBR,126609
15931,George Town,GBR,
772,Zugdidi,GEO,
3658,Kutaisi,GEO,132035
6671,Gori,GEO,
12309,Batumi,GEO,168438
13131,Mezhdunarodnyy Aeroport Tbilisi; Tbilisi International Airport; Tbilisis Saertashoriso Aerodromi,GEO,
13171,Rustavi,GEO,
13172,Tblisi,GEO,988278
309,Oldenburg,GER,147302
317,Flensburg,GER,75426
425,Wernigerode,GER,
538,Naumburg,GER,
564,Kassel,GER,238931
586,Weiden in der Oberpfalz,GER,
589,Frankfurt Airport,GER,
3258,Neubrandenburg,GER,
3299,Ingolstadt,GER,88782
3326,Bremen,GER,425974
3499,Brandenburg an der Havel,GER,
3514,Görlitz,GER,
3524,Marburg,GER,
3530,Karlsruhe,GER,299990
3558,Ludwigshafen am Rhein,GER,
3679,Stuggart,GER,
3705,Augsburg,GER,338257
6257,Neumünster,GER,64451
6377,Hannover,GER,663997
6488,Frankfurt am Main,GER,
6501,Jena,GER,82104
6513,Göttingen,GER,110420
6524,Erfurt,GER,174628
6535,Münster,GER,269164
6568,Mannheim,GER,456549
6712,Freiburg im Breisgau,GER,238078
9347,Hamburg,GER,1733898
9375,Wolfsburg,GER,70340
9388,Stralsund,GER,
9441,Zwickau,GER,61730
9471,Chemnitz,GER,241511
9496,Frankfurt an der Oder,GER,
9509,Bielefeld,GER,238107
9515,Regensburg,GER,150502
9522,Aachen,GER,218507
9575,Trier,GER,88553
9666,Kempten,GER,
11219,Perleberg,GER,
11264,Meppen,GER,
11305,Schwerin,GER,50236
11331,Lübeck,GER,175411
11359,Stendal,GER,
11388,Osnabrück,GER,118523
11415,Cottbus,GER,
11417,Würzburg,GER,120858
11445,Fulda,GER,53458
11499,Ulm,GER,115346
11529,Ansbach,GER,
11531,Saarbrücken,GER,125456
11544,Nuremburg; Nürnberg,GER,645853
11547,Kaiserslauten,GER,80641
11560,Mainz,GER,
13116,Bamberg,GER,72467
13874,Rostock,GER,160700
13876,Leipzig,GER,585335
13879,Dresden,GER,566233
13881,Wittenberg,GER,
13884,Berlin,GER,3549997
13887,Spandau,GER,
13889,Berlin Brandenburg Airport,GER,
13891,Magdeburg,GER,216131
13892,Haale,GER,
13893,Erlangen,GER,113282
13896,Munich; München,GER,1827704
13899,Munich Airport; München Flughafen,GER,
13902,Ludwigsburg,GER,
13908,Wiesbaden,GER,416574
13909,Kiel,GER,231582
13920,Bremerhaven,GER,136384
13922,Bonn,GER,756475
13923,Cologne; Köln,GER,1156303
13927,Düsseldorf,GER,
13929,Düsseldorf; Flughafen Düsseldorf,GER,
13930,Duisburg,GER,
13932,Essen,GER,2718996
13933,Dortmund,GER,709615
13934,Neuwied,GER,60145
14108,Koblenz,GER,133939
966,Kozani; Kozáni,GRC,
976,Lamia; Lamía,GRC,
1109,Chalcis; Chalkís,GRC,
1205,Agrinio; Agrínion,GRC,
3844,Katerini; Kateríni,GRC,
3914,Ioannina; Ioánnina,GRC,94900
3973,Volos; Vólos,GRC,99656
3988,Thessaloniki; Thessaloníki,GRC,783450
4078,Tripoli; Trípolis,GRC,
4109,Athens; Athínai,GRC,3166757
6550,Chios; Chíos,GRC,
6930,Larissa; Lárisa,GRC,118892
6990,Serres; Sérrai,GRC,
7096,Corinth; Kórinthos,GRC,
9940,Heraklion; Irákleion,GRC,159049
10007,Rhodes; Ródos,GRC,
10163,Giannitsá; Yannitsa,GRC,
10203,Corfu; Kérkyra,GRC,
11774,Xanthi; Xánthi,GRC,
11786,Trikala; Tríkala,GRC,
11905,Alexandroupoli; Alexandroúpolis,GRC,
11965,Kalamáta; Kalmata,GRC,
12058,Chania; Chanía,GRC,66403
15379,Athens International Airport Eleftherios Venizelos; Diethnís Aeroliménas Athinón Elefthérios Venizélos,GRC,
15381,Patras; Pátrai,GRC,146128
10842,Quetzaltenango,GTM,295633
13085,Puerto Barrios,GTM,66989
15276,Ciudad de Guatemala; Guatemala City,GTM,2900619
15277,Aeropuerto Internacional La Aurora; La Aurora International Airport,GTM,
15278,Villa Nueva,GTM,
15279,Cobán,GTM,221271
15281,Huehuetenango,GTM,
14710,,Guǎngzhōu Báiyún Guójì Jīchǎng; Guangzhou Baiyun International Airport,PRC
1635,Les Cayes,HAI,83543
15933,Port-au-Prince,HAI,1733378
15937,Gonaïves,HAI,393644
12865,Choluteca,HDU,128000
15363,Tegucigalpa,HDU,1653509
15364,San Pedro Sula,HDU,1301567
15366,Comayagua,HDU,113060
