City,Country,Population (2025)
Las Piedras,Uruguay,106085.5023
Ciudad Constitución,México,63241.55574
Mazatenango,Guatemala,112387.6568
Lourdes,El Salvador,134315.7691
La Lima,Honduras,51353.18668
Tipitapa,Nicaragua,87293.5999
Zarumilla,Peru,50172.87003
Guayaquil,Ecuador,3247674.482
Cotorro,Cuba,100279.4056
Orito,Colombia,51867.92522
Kingston,Jamaica,593374.8263
Villa del Rosario,Venezuela,76455.25885
Léogâne,Haiti,162657.2234
Santiago de los Caballeros,Dominican Republic,678295.8372
Coquimbo,Chile,204684.6315
Trinidad,Bolivia,119469.1942
Ariquemes,Brazil,79876.04743
La Rioja,Argentina,228389.6772
Caaguazú,Paraguay,108252.1447
Montevideo,Uruguay,1219221.866
Tecate,México,69365.7261
Totonicapán,Guatemala,116195.6008
San Salvador,El Salvador,1615741.491
Comayagua,Honduras,113059.6785
Granada,Nicaragua,98172.6129
Puerto Hondo,Ecuador,60866.39412
Lambayeque,Peru,57457.54137
Matanzas,Cuba,148632.8713
Popayán,Colombia,224661.6835
Santa Bárbara del Zulia,Venezuela,81292.27744
Jacmel,Haiti,118702.0783
Baní,Dominican Republic,137526.7253
La Serena,Chile,272316.9663
Potosí,Bolivia,261971.8658
San Martín,Argentina,83268.17778
Ji-Paraná,Brazil,109456.2761
Encarnacion,Paraguay,177550.8119
Ciudad de la Costa,Uruguay,99151.3724
Cabo San Lucas,México,255769.575
Momostenango,Guatemala,59574.4248
Quezaltepeque,El Salvador,56634.92055
Puerto Cortés,Honduras,75253.63072
Jinotega,Nicaragua,79339.44559
Daule,Ecuador,80197.86884
Chiclayo,Peru,642224.9615
Varadero,Cuba,55416.83955
Hacienda Río Blanco,Colombia,58485.13354
El Vigía,Venezuela,103088.212
Saint-Marc,Haiti,228978.8637
Puerto Plata,Dominican Republic,128130.6296
Ovalle,Chile,72425.77777
Sucre,Bolivia,292077.9239
Libertador General San Martín,Argentina,54712.4081
Boa Vista,Brazil,344499.4383
Ciudad del Este,Paraguay,422701.3394
Maldonado,Uruguay,124857.5563
La Paz,México,369299.2371
Chiantla,Guatemala,74627.50728
Cojutepeque,El Salvador,57723.00495
El Progreso,Honduras,138953.7938
Matagalpa,Nicaragua,134379.7401
Machala,Ecuador,263230.5951
Trujillo,Peru,991426.9265
Cienfuegos,Cuba,129052.4617
Cali,Colombia,2691615.942
La Concepción,Venezuela,52997.87376
Port-de-Paix,Haiti,343402.7088
La Vega,Dominican Republic,119131.7426
Valparaíso,Chile,838445.6069
Tarija,Bolivia,250298.3573
San Pedro de Jujuy,Argentina,64284.93354
Cacoal,Brazil,58769.50633
Hernandarias,Paraguay,78161.70246
San José del Cabo,México,157463.3024
San Pedro Soloma,Guatemala,54295.24125
Zacatecoluca,El Salvador,62631.62775
Choluteca,Honduras,128000.3279
Bilwi,Nicaragua,107012.0079
Vinces,Ecuador,51505.2718
Jaén,Peru,66928.25185
Jamundí,Colombia,131851.7547
Trinidad,Cuba,53969.61528
Maracaibo,Venezuela,2142105.375
Port-au-Prince,Haiti,1733377.8
Moca,Dominican Republic,95304.70105
Concón,Chile,58913.40205
Montero,Bolivia,118183.5761
San Ramón de la Nueva Orán,Argentina,92652.71445
Manacapuru,Brazil,73818.21545
Mexicali,México,736551.6306
Sololá - Tz'olöj Ya',Guatemala,70804.76877
Usulután,El Salvador,64304.47679
Tegucigalpa,Honduras,1653508.639
Pasaje,Ecuador,55206.82028
Cajamarca,Peru,276090.7321
Quibdó,Colombia,106894.2114
Santa Clara,Cuba,222228.933
San Rafael del Moján,Venezuela,66562.99993
Gonaïves,Haiti,393644.1118
Bonao,Dominican Republic,88713.37907
San Antonio,Chile,135702.998
Santa Cruz de la Sierra,Bolivia,2016833.232
Concepción,Argentina,56730.34791
Manaus,Brazil,2368804.754
San Luis Río Colorado,México,202387.6974
Santa Lucía Cotzumalguapa,Guatemala,112152.1367
San Miguel,El Salvador,165221.9147
Danlí,Honduras,75556.94656
Barrio Codesa,Ecuador,90630.94535
Chimbote,Peru,218648.9798
Santander de Quilichao,Colombia,61793.59339
Sancti Spiritus,Cuba,105367.1291
Puerto Escondido,Venezuela,56759.83455
Gros Morne,Haiti,78080.67837
San Cristóbal,Dominican Republic,183844.8001
La Calera,Chile,60386.67505
Satelite Norte,Bolivia,59216.07901
San Miguel de Tucumán,Argentina,986266.9288
Vilhena,Brazil,76548.33764
Rocky Point,México,72681.24926
Santa Cruz del Quiché,Guatemala,83932.66982
La Ceiba,Honduras,300947.6603
Esmeraldas,Ecuador,155381.0933
Nuevo Chimbote,Peru,128369.0372
Turbo,Colombia,53330.41972
Ciego de Ávila,Cuba,114508.0893
Cabimas,Venezuela,299559.3463
Cabaret,Haiti,77961.90483
San Francisco de Macorís,Dominican Republic,147299.0359
Quillota,Chile,71098.23152
Yacuiba,Bolivia,87366.15941
San Fernando del Valle de Catamarca,Argentina,208496.3887
Itacoatiara,Brazil,72359.57405
Guaymas,México,125093.7119
Santa Cruz Barillas,Guatemala,77901.2918
Juticalpa,Honduras,66233.9806
Milagro,Ecuador,164037.6362
Barranca,Peru,63858.59131
Chigorodó,Colombia,53945.47175
Camagüey,Cuba,286044.8646
Mérida,Venezuela,218098.5524
Dessalines,Haiti,51214.71705
Santo Domingo,Dominican Republic,4593163.695
Concepción,Chile,508454.7209
Tartagal,Argentina,53059.89779
Parintins,Brazil,82417.16164
Los Mochis,México,252461.1375
Santa María Nebaj,Guatemala,53080.36719
Catacamas,Honduras,56012.41944
Babahoyo,Ecuador,106151.2433
Huaraz,Peru,120033.8214
Palmira,Colombia,196215.0051
Manzanillo,Cuba,110567.5204
Ciudad Ojeda,Venezuela,174151.1074
Petite-Rivière-de-l'Artibonite,Haiti,58597.14659
San Pedro de Macorís,Dominican Republic,240203.3176
San Pedro de la Paz,Chile,76423.98932
San Rafael,Argentina,121172.952
Tangará da Serra,Brazil,67205.54508
Heroica Caborca,México,76331.77996
Escuintla,Guatemala,85049.82379
Tocoa,Honduras,59941.01254
El Carmen,Ecuador,73021.05799
Huacho,Peru,118109.6934
Buga,Colombia,117577.8462
Nuevitas,Cuba,52879.51654
Socopó,Venezuela,75675.21747
Saint Michel de l’Attalaye,Haiti,59784.37157
La Romana,Dominican Republic,248411.587
Coronel,Chile,107945.1149
San Carlos de Bariloche,Argentina,115040.6069
Cáceres,Brazil,74056.68812
Hermosillo,México,778882.36
Chimaltenango,Guatemala,181905.7619
Quinindé,Ecuador,58361.48311
Moyobamba,Peru,87055.48362
Apartadó,Colombia,226447.8924
Las Tunas,Cuba,188545.5119
Valera,Venezuela,144937.8373
Limbé,Haiti,76756.9309
Salvaleón de Higüey,Dominican Republic,140438.0323
Penco,Chile,55335.31206
Santiago del Estero,Argentina,399038.6727
Itaituba,Brazil,76341.91829
Ciudad Obregón,México,330236.5637
Antigua Guatemala,Guatemala,107276.4734
Quevedo,Ecuador,187211.2087
Huaral,Peru,68032.11571
Tuluá,Colombia,245274.8203
Bayamo,Cuba,201288.1951
Barinas,Venezuela,323816.5117
Mirebalais,Haiti,56736.1203
Chiguayante,Chile,142020.5593
San Luis,Argentina,188276.1321
Corumbá,Brazil,124051.3971
Esperanza,México,59485.06196
Guatemala City,Guatemala,2900618.853
Santo Domingo de los Tsachilas,Ecuador,357691.9378
Pitalito,Colombia,77842.03324
Puerto Padre,Cuba,51483.36398
Boconó,Venezuela,58677.17578
Cap-Haitien,Haiti,340357.0084
Melipilla,Chile,61858.57312
Cutral Có,Argentina,59572.92277
Lucas do Rio Verde,Brazil,62757.72151
Navojoa,México,110580.4538
San Juan Sacatepéquez,Guatemala,85399.79373
City of Loja,Ecuador,170979.2695
Lima,Peru,10828103.83
Cartago,Colombia,119466.1684
Contramaestre,Cuba,70971.37853
Hinche,Haiti,64153.28431
Carora,Venezuela,144425.6481
San Felipe,Chile,72435.58869
Villa Carlos Paz,Argentina,70728.51451
Sorriso,Brazil,72270.87947
Guasave,México,84062.20223
Grufes Sector de Mujere,Guatemala,63828.92257
Cuenca,Ecuador,506176.672
Pereira,Colombia,596362.7838
Holguín,Cuba,313756.927
Punto Fijo,Venezuela,257860.7735
Ouanaminthe,Haiti,105505.8938
Los Andes,Chile,84109.87538
Villa Mercedes,Argentina,114158.6645
Cuiabá,Brazil,801996.8688
Guamúchil,México,66184.84012
Cobán,Guatemala,221271.1628
Riobamba,Ecuador,183174.1439
Garzón,Colombia,71714.99141
Palma Soriano,Cuba,105118.9375
Guanare,Venezuela,180986.6641
Santiago,Chile,6633766.609
Cordoba,Argentina,1468196.585
Sinop,Brazil,119760.4121
Culiacán,México,671458.5658
San Pedro Carchá,Guatemala,97815.6443
Ambato,Ecuador,275466.0446
Tarapoto,Peru,165836.4075
Tierralta,Colombia,67877.37499
Santiago de Cuba,Cuba,441984.805
El Tocuyo,Venezuela,81094.71733
Talagante,Chile,56657.67737
Neuquén,Argentina,234072.773
Santarém,Brazil,185263.3645
Mazatlán,México,419191.6331
Jalapa,Guatemala,85516.91296
Latacunga,Ecuador,87529.66862
Yurimaguas,Peru,61622.81114
Florencia,Colombia,204480.3619
Quíbor,Venezuela,55106.91505
Peñaflor,Chile,91822.80574
Cipolletti,Argentina,82452.09072
Rondonópolis,Brazil,212447.235
Puerto Vallarta,México,190175.6111
Jutiapa,Guatemala,52476.80422
Quito,Ecuador,2605678.13
Armenia,Colombia,322712.7703
Huánuco,Peru,191398.7143
Banes,Cuba,57299.03422
Coro,Venezuela,200198.7345
Colina,Chile,51718.02173
General Roca,Argentina,89329.39549
Primavera do Leste,Brazil,53046.91037
San José del Valle,México,68070.00123
Chiquimula,Guatemala,63654.51116
Cumbaya,Ecuador,101358.7836
Santa Rosa de Cabal,Colombia,54957.92248
Cerro de Pasco,Peru,65036.03066
Guantanamo,Cuba,201035.9353
Barquisimeto,Venezuela,853705.7149
Talca,Chile,270689.4471
Río Cuarto,Argentina,144592.0714
Campo Grande,Brazil,910909.7178
Manzanillo,México,176405.315
Flores,Guatemala,145258.9636
Otavalo,Ecuador,54258.88663
Tingo María,Peru,58069.78524
Medellín,Colombia,3215457.351
Moa,Cuba,62015.75772
Tamaca,Venezuela,103054.186
Curicó,Chile,103446.7394
Villa María,Argentina,90718.04675
Uruguaiana,Brazil,118736.1576
El Alamito,México,277554.5201
El Estor,Guatemala,52061.60103
Ibarra,Ecuador,166828.6139
Caldas,Colombia,61792.38298
Chincha Alta,Peru,186467.3265
Baracoa,Cuba,67035.44259
Cabudare,Venezuela,119102.0147
San Fernando,Chile,53205.91534
Presidencia Roque Sáenz Peña,Argentina,92355.69137
Dourados,Brazil,178124.0197
Tecoman,México,122463.1415
Poptún,Guatemala,62786.42481
Cayambe,Ecuador,51685.21063
Montería,Colombia,325725.7641
Pisco,Peru,67975.52236
Acarigua,Venezuela,289253.8571
Chillán,Chile,169341.7227
San Francisco,Argentina,58017.2295
Altamira,Brazil,102613.5185
Tepic,México,420019.6003
Morales,Guatemala,53437.94886
Puyo,Ecuador,51412.38141
Manizales,Colombia,432609.6327
Ica,Peru,186984.9577
Duaca,Venezuela,56185.09024
Rancagua,Chile,277738.1925
Santa Rosa,Argentina,122756.2169
Foz do Iguaçu,Brazil,219138.6881
Colima,México,307482.7595
Puerto Barrios,Guatemala,66988.84496
Tena,Ecuador,54647.55241
Neiva,Colombia,330812.2619
Parcona,Peru,70136.29081
San Carlos,Venezuela,122453.7669
Linares,Chile,57009.27056
General Pico,Argentina,55066.8596
Santana,Brazil,143271.532
Ciudad Guzmán,México,92429.72936
Tulcán,Ecuador,54691.71468
Lorica,Colombia,62350.32012
Huancayo,Peru,455854.5835
Marín,Venezuela,59394.51406
Los Ángeles,Chile,125443.1422
Rafaela,Argentina,78327.86697
Macapá,Brazil,451688.6323
Agua Prieta,México,100740.5005
Puerto Francisco de Orellana,Ecuador,74809.33259
Rionegro,Colombia,51898.26643
Pucallpa,Peru,247753.0266
Tinaquillo,Venezuela,99630.81772
Temuco,Chile,355235.9665
Venado Tuerto,Argentina,63456.32442
Barra do Garças,Brazil,64964.86899
Guadalajara,México,4138349.881
Nueva Loja,Ecuador,75763.82448
Ibagué,Colombia,514064.1783
Bajo Pichanaqui,Peru,99967.57634
Valencia,Venezuela,1601248.835
Valdivia,Chile,148826.0266
Santa Fe,Argentina,377685.5917
Mineiros,Brazil,58494.88635
Tesistán,México,60700.73127
Montelíbano,Colombia,74810.97465
Peña Negra,Peru,56518.12267
Puerto Ayacucho,Venezuela,121658.8809
Osorno,Chile,140213.5922
Santo Tomé,Argentina,82970.47698
Toledo,Brazil,115692.384
Lázaro Cárdenas,México,168921.4163
Sahagún,Colombia,274290.9358
Iquitos,Peru,73060.58015
Puerto Cabello,Venezuela,162198.2111
Puerto Montt,Chile,235332.7525
Reconquista,Argentina,107098.3678
Sant'Ana do Livramento,Brazil,58515.45342
Durango,México,548393.9081
Cartagena,Colombia,925945.2183
Huanta,Peru,50666.84704
Biruaca,Venezuela,100147.3017
Coyhaique,Chile,51872.00157
Resistencia,Argentina,416874.6149
Umuarama,Brazil,91482.86738
Apatzingán,México,118828.9083
Sincelejo,Colombia,294641.5986
Ayacucho,Peru,216773.7485
Las Mercedes,Venezuela,71325.8004
Paraná,Argentina,208270.3069
Punta Arenas,Chile,112210.0348
Breves,Brazil,55575.45983
Sahuayo de Morelos,México,82902.09812
Espinal,Colombia,52055.84404
Cusco,Peru,517707.4456
Maracay,Venezuela,866299.742
Corrientes,Argentina,406711.8606
Cascavel,Brazil,309465.7258
Ocotlán,México,106676.0816
Caucasia,Colombia,72713.7267
Arequipa,Peru,1004835.002
Calabozo,Venezuela,123576.914
Funes,Argentina,77147.31145
Jataí,Brazil,86168.22631
Los Reyes de Salgado,México,55227.39721
Girardot,Colombia,112472.9157
Ilo,Peru,65993.98868
Palo Negro,Venezuela,68712.13618
San Lorenzo,Argentina,63097.45467
Santo Ângelo,Brazil,58292.69884
Cuauhtémoc,México,125930.6397
Corozal,Colombia,50527.3566
Moquegua,Peru,50499.68143
Villa de Cura,Venezuela,65526.25407
Rosario,Argentina,1187381.863
Cianorte,Brazil,59003.91811
Tepatitlán,México,110772.8186
Turbaco,Colombia,65829.02293
Juliaca,Peru,326109.6982
San Mateo,Venezuela,67242.41715
Goya,Argentina,74028.24274
Paranavaí,Brazil,61675.44393
Zihuatanejo,México,86848.19531
Arjona,Colombia,57774.09224
Puno,Peru,129974.5941
San Juan de Los Morros,Venezuela,111896.7902
Formosa,Argentina,228672.1399
Ijuí,Brazil,63660.47662
Jacona de Plancarte,México,52772.62127
La Dorada,Colombia,78945.03893
Puerto Maldonado,Peru,88873.83774
La Victoria,Venezuela,132868.1872
Junín,Argentina,82776.61969
Parauapebas,Brazil,194029.1336
Nuevo Casas Grandes,México,53483.89513
Fusagasugá,Colombia,102396.2163
Tacna,Peru,341997.3547
San Antonio de los Altos [Los Teques],Venezuela,260434.9254
Pergamino,Argentina,90301.94758
Redenção,Brazil,75366.20491
Hidalgo del Parral,México,115314.3604
Facatativá,Colombia,120460.5771
Catia La Mar [La Guaira],Venezuela,340092.4895
Comodoro Rivadavia,Argentina,162678.3937
Francisco Beltrão,Brazil,66039.95083
Zamora,México,127828.5485
Magangué,Colombia,71842.33093
Caracas,Venezuela,2667322.485
San Nicolás de los Arroyos,Argentina,141135.8931
Tucuruí,Brazil,103981.3525
Uruapan,México,336317.1681
Bogota,Colombia,10419360.65
Cúa,Venezuela,103125.0461
Puerto Madryn,Argentina,103274.4675
Três Lagoas,Brazil,110115.4238
Arandas,México,61793.86968
Sabanalarga,Colombia,68701.16335
Charallave,Venezuela,141375.393
Trelew,Argentina,114365.8259
Campo Mourão,Brazil,83840.62612
La Piedad de Cabadas,México,116654.0467
Barranquilla,Colombia,2166638.375
Ocumare del Tuy,Venezuela,91639.57149
Caleta Olivia,Argentina,64315.95473
Rio Verde,Brazil,218380.9803
Zacapu,México,52470.86637
Pinillos,Colombia,124421.7233
Santa Teresa del Tuy,Venezuela,205779.8951
Bahía Blanca,Argentina,279514.821
Santa Maria,Brazil,223105.2749
San Juan de los Lagos,México,64562.88611
Chía,Colombia,289605.6813
Guarenas,Venezuela,430307.5596
Punta Alta,Argentina,50499.73209
Maringá,Brazil,507945.2871
Pátzcuaro,México,75440.12878
Zipaquirá,Colombia,128428.7754
Valle de La Pascua,Venezuela,108648.5472
Chivilcoy,Argentina,53524.4841
Pato Branco,Brazil,64886.07871
Chihuahua,México,832219.698
Tiquisio,Colombia,215998.371
Zaraza,Venezuela,55231.47668
Viedma,Argentina,74823.86562
Bagé,Brazil,100920.1036
Pénjamo,México,50452.25615
Acacías,Colombia,50039.9198
Barcelona,Venezuela,688689.5729
Concordia,Argentina,136899.2036
Presidente Prudente,Brazil,200218.9194
Aguascalientes,México,878454.5583
Sesquilé,Colombia,74659.92157
Anaco,Venezuela,127761.0044
Zárate,Argentina,86875.18423
Jacundá,Brazil,54633.79143
Fresnillo,México,151502.8793
Chiquinquirá,Colombia,56080.92531
El Tigre,Venezuela,166917.4095
Olavarría,Argentina,82411.93195
Chapecó,Brazil,211736.3943
San Francisco del Rincón,México,127694.6988
Barrancabermeja,Colombia,186320.3816
San José de Guanipa,Venezuela,83683.33658
Gualeguaychu,Argentina,60433.39265
Marabá,Brazil,222699.4716
Zacatecas,México,284147.0386
Villavicencio,Colombia,334493.2636
Cumana,Venezuela,398294.1059
Campana,Argentina,59995.93342
Tailândia,Brazil,86467.55712
Morelia,México,635587.9012
Ciénaga,Colombia,103063.3019
Porlamar,Venezuela,267847.1843
Concepción del Uruguay,Argentina,50970.02748
Abaetetuba,Brazil,101853.4851
Delicias,México,132479.555
Fundación,Colombia,57344.53383
Ciudad Bolivar,Venezuela,325053.9671
Luján,Argentina,66489.34379
Carazinho,Brazil,51079.90404
Lagos de Moreno,México,118084.013
Peñon del Rodadero,Colombia,63190.3967
Punta de Mata,Venezuela,54486.44864
Buenos Aires,Argentina,14179912.05
Arapongas,Brazil,106398.3089
León,México,1384014.169
Santa Marta,Colombia,423996.0067
Maturin,Venezuela,487362.3029
Belén de Escobar,Argentina,62681.98588
Apucarana,Brazil,112934.8455
Uriangato,México,120106.6362
Tunja,Colombia,199107.4068
El Zorro,Venezuela,77258.44731
Azul,Argentina,54112.17407
Londrina,Brazil,640350.2926
Irapuato,México,468284.6394
Aguachica,Colombia,68779.92597
Carúpano,Venezuela,111012.2358
Posadas,Argentina,393458.873
Erechim,Brazil,83700.75314
Tepeyac,México,54218.87247
Ocaña,Colombia,87091.53011
Ciudad Guayana,Venezuela,551960.1056
Ingeniero Juan Allan,Argentina,50270.10238
Belém,Brazil,2192374.924
Silao,México,108073.6405
Girón,Colombia,191631.7245
San Félix,Venezuela,148642.3779
Río Gallegos,Argentina,138375.8225
Passo Fundo,Brazil,183865.3435
Acapulco,México,668457.3335
Duitama,Colombia,75118.4844
Upata,Venezuela,78982.91256
La Plata,Argentina,762830.6605
Gurupi,Brazil,76153.01665
Valle de Santiago,México,90147.68425
Bucaramanga,Colombia,893662.2264
Tucupita,Venezuela,130914.0791
Tandil,Argentina,118074.5953
Cachoeira do Sul,Brazil,62619.11362
Salamanca,México,176289.9744
Piedecuesta,Colombia,128963.2781
Puerto Iguazú,Argentina,54621.71332
Guarapuava,Brazil,141598.8921
Torreón,México,1363775.688
Sogamoso,Colombia,78626.11526
Oberá,Argentina,80383.61844
Araçatuba,Brazil,187820.7273
Guanajuato,México,135322.935
Recetor,Colombia,134721.4378
Eldorado,Argentina,67940.61368
Fernandópolis,Brazil,58835.93474
Cortazar,México,77608.48223
San José del Guaviare,Colombia,62009.16994
Necochea,Argentina,77714.00168
Tupã,Brazil,56771.71897
Acámbaro,México,66233.50849
Valledupar,Colombia,589134.8509
Mar del Plata,Argentina,627742.6664
Trindade,Brazil,67350.84337
Ciudad Hidalgo,México,74687.06014
Yopal,Colombia,210798.7983
Rio Grande,Argentina,66334.58115
Birigui,Brazil,114675.4355
Celaya,México,381192.4821
Cúcuta,Colombia,817158.1235
Ushuaia,Argentina,70173.02332
Goiânia,Brazil,2457483.108
Zitácuaro,México,112348.6402
Riohacha,Colombia,258811.747
Santa Cruz do Sul,Brazil,97453.97749
Dolores Hidalgo Cuna De La Independencia Nacional,México,83620.20846
Manaure,Colombia,72872.68177
Goianésia,Brazil,62965.9407
Chilpancingo,México,219721.0456
Maicao,Colombia,147235.643
Votuporanga,Brazil,81983.83559
San Miguel de Allende,México,92834.27735
Uribia,Colombia,127753.3099
Araguaína,Brazil,175408.6581
Querétaro,México,908964.456
Arauca,Colombia,121022.9925
Assis,Brazil,93872.71508
Iguala,México,110425.827
Leticia,Colombia,53711.40972
Castanhal,Brazil,176238.3347
Ciudad Juárez,México,1214948.819
Penápolis,Brazil,54935.97623
Taxco,México,61067.33801
Palmas,Brazil,192786.8071
San Luis Potosí,México,1005068.069
Jardim Aureny III,Brazil,107088.964
Toluca,México,1594046.479
Senador Canedo,Brazil,67605.27191
Almoloya de Juárez,México,61840.75098
Telêmaco Borba,Brazil,70666.06905
San Luis de la Paz,México,82683.02541
Ituiutaba,Brazil,95365.6185
San Juan del Río,México,181410.2252
Anápolis,Brazil,375174.9224
Capulhuac de Mirafuentes,México,78932.39507
União da Vitória,Brazil,60911.65717
Cuernavaca,México,866396.3467
Lajeado,Brazil,72762.49389
Mexico City,México,17639163.99
Itumbiara,Brazil,97001.06136
Tlapa de Comonfort,México,65413.79492
Marília,Brazil,219979.3917
Cuautla,México,226028.0103
Caçador,Brazil,65948.75256
Tepeji de Ocampo,México,57087.11441
Lins,Brazil,70571.42105
Tula,México,70282.91442
Mirassol,Brazil,52104.9622
Colonia Santa Teresa,México,54491.67687
São José do Rio Preto,Brazil,437282.5062
Huehuetoca,México,60013.06101
Ourinhos,Brazil,105974.0589
Rioverde,México,72079.84696
Açailândia,Brazil,89347.44668
Zumpango,México,63658.8755
Bento Gonçalves,Brazil,94082.8247
Ozumba de Alzate,México,56406.9492
Pelotas,Brazil,299134.2832
Mixquiahuala,México,57947.26111
Imperatriz,Brazil,233772.2661
Los Reyes Acozac,México,62352.5376
Paragominas,Brazil,91444.82181
Texcoco de Mora,México,222360.7912
Ponta Grossa,Brazil,312508.7268
Matehuala,México,91142.67149
Caldas Novas,Brazil,71471.80829
Tizayuca,México,101965.6766
Capanema,Brazil,57117.23726
Atlixco,México,66247.19535
Águas Lindas de Goiás,Brazil,191818.3598
Santa Matilde,México,102206.3105
Santo Antônio do Descoberto,Brazil,65909.84636
Pachuca,México,326869.8644
Caxias do Sul,Brazil,402433.8644
Texmelucan,México,187949.0671
Rio Grande,Brazil,173871.8675
Ciudad Sahagún,México,53601.6636
Brazlândia,Brazil,54798.09938
Puebla,México,1949859.502
Brasilia,Brazil,1799120.619
Saltillo,México,735829.0286
Recanto das Emas,Brazil,189608.8745
Huajuapan,México,72744.05504
Guaíba,Brazil,65030.94156
Zacatelco,México,136461.4823
Catanduva,Brazil,109137.7044
Tlaxcala,México,208322.9597
Novo Hamburgo,Brazil,554410.0214
Ramos Arizpe,México,89395.60603
Valparaíso de Goiás,Brazil,592234.9672
Apizaco,México,126631.6485
Porto Alegre,Brazil,2763349.624
Tulancingo,México,130003.3591
Bauru,Brazil,366248.5508
Monclova,México,290388.9017
Cidade Ocidental,Brazil,140593.4038
Ciudad Valles,México,115034.6728
Bragança,Brazil,82155.68003
Huamantla,México,67554.51977
Lago Norte,Brazil,186767.9153
