Name,country,population,Oblast,date
Bel'mesëvo [Belmesyovo],russia,1459,altajkrai,2010-10-04
Belokuricha [Belokurikha],russia,14661,altajkrai,2010-10-04
Berëzovka [Beryozovka],russia,4588,altajkrai,2010-10-04
Bijsk [Biysk],russia,210115,altajkrai,2010-10-04
Blagoveščenka [Blagoveshchenka],russia,11626,altajkrai,2010-10-04
Bobrovka,russia,3079,altajkrai,2010-10-04
Borovicha [Borovikha],russia,7037,altajkrai,2010-10-04
Burla,russia,4304,altajkrai,2010-10-04
Celinnoje [Tselinnoye],russia,5276,altajkrai,2010-10-04
Central'nyj [Tsentralny],russia,1955,altajkrai,2010-10-04
Čerëmnoje [Cheryomnoye],russia,4454,altajkrai,2010-10-04
Chabary [Khabary],russia,5552,altajkrai,2010-10-04
Gornjak [Gornyak],russia,13918,altajkrai,2010-10-04
Jarovoje [Yarovoye],russia,18604,altajkrai,2010-10-04
Južnyj [Yuzhny],russia,19233,altajkrai,2010-10-04
Kamen'-na-Obi [Kamen-na-Obi],russia,43888,altajkrai,2010-10-04
Kazënnaja Zaimka [Kazyonnaya Zaimka],russia,2332,altajkrai,2010-10-04
Ključi [Klyuchi],russia,8892,altajkrai,2010-10-04
Kosicha [Kosikha],russia,5229,altajkrai,2010-10-04
Krasnogorskoje [Krasnogorskoye],russia,5993,altajkrai,2010-10-04
Krasnoščëkovo [Krasnoshchyokovo],russia,5078,altajkrai,2010-10-04
Kruticha [Krutikha],russia,3804,altajkrai,2010-10-04
Kulunda,russia,14527,altajkrai,2010-10-04
Kur'ja [Kurya],russia,3835,altajkrai,2010-10-04
Kytmanovo,russia,3873,altajkrai,2010-10-04
Lebjažje [Lebyazhye],russia,5199,altajkrai,2010-10-04
Lesnoj [Lesnoy],russia,1514,altajkrai,2010-10-04
Malinovoje Ozero [Malinovoye Ozero],russia,3586,altajkrai,2010-10-04
Mamontovo,russia,8784,altajkrai,2010-10-04
Michajlovskoje [Mikhaylovskoye],russia,11020,altajkrai,2010-10-04
Nagornyj [Nagorny],russia,7542,altajkrai,2010-10-04
Nalobicha [Nalobikha],russia,4273,altajkrai,2010-10-04
Novičicha [Novichikha],russia,4284,altajkrai,2010-10-04
Novoaltajsk [Novoaltaysk],russia,70437,altajkrai,2010-10-04
Novojegorjevskoje [Novoyegoryevskoye],russia,5794,altajkrai,2010-10-04
Novyje Zori [Novye Zori],russia,3269,altajkrai,2010-10-04
Ozërki [Ozyorki],russia,5082,altajkrai,2010-10-04
Pankrušicha [Pankrushikha],russia,4916,altajkrai,2010-10-04
Pavlovsk,russia,14533,altajkrai,2010-10-04
Pervomajskoje [Pervomayskoye],russia,5303,altajkrai,2010-10-04
Pervomajskoje [Pervomayskoye],russia,4796,altajkrai,2010-10-04
Pospelicha [Pospelikha],russia,12496,altajkrai,2010-10-04
Rebricha [Rebrikha],russia,8468,altajkrai,2010-10-04
Rodino,russia,8597,altajkrai,2010-10-04
Romanovo,russia,5624,altajkrai,2010-10-04
Rubcovsk [Rubtsovsk],russia,147002,altajkrai,2010-10-04
Sannikovo,russia,2609,altajkrai,2010-10-04
Šelabolicha [Shelabolikha],russia,4006,altajkrai,2010-10-04
Sibirskij [Sibirsky],russia,11306,altajkrai,2010-10-04
Šipunovo [Shipunovo],russia,12127,altajkrai,2010-10-04
Slavgorod,russia,32389,altajkrai,2010-10-04
Slavgorodskoje [Slavgorodskoye],russia,3524,altajkrai,2010-10-04
Smolenskoje [Smolenskoye],russia,8985,altajkrai,2010-10-04
Solonešnoje [Soloneshnoye],russia,4441,altajkrai,2010-10-04
Sovetskoje [Sovetskoye],russia,5233,altajkrai,2010-10-04
Staroalejskoje [Staroaleyskoye],russia,4769,altajkrai,2010-10-04
Stepnoje Ozero [Stepnoye Ozero],russia,6672,altajkrai,2010-10-04
Tabuny,russia,3876,altajkrai,2010-10-04
Tal'menka [Talmenka],russia,18814,altajkrai,2010-10-04
Tjumencevo [Tyumentsevo],russia,5576,altajkrai,2010-10-04
Togul,russia,4349,altajkrai,2010-10-04
Topčicha [Topchikha],russia,8815,altajkrai,2010-10-04
Troickoje [Troitskoye],russia,10033,altajkrai,2010-10-04
Uglovskoje [Uglovskoye],russia,4368,altajkrai,2010-10-04
Ust'-Čaryšskaja Pristan' [Ust-Charyshskaya Pristan],russia,5023,altajkrai,2010-10-04
Ust'-Kalmanka [Ust-Kalmanka],russia,6371,altajkrai,2010-10-04
Vesëlojarsk [Vesyoloyarsk],russia,4799,altajkrai,2010-10-04
Vlasicha [Vlasikha],russia,9160,altajkrai,2010-10-04
Volčicha [Volchikha],russia,10396,altajkrai,2010-10-04
Zalesovo,russia,7290,altajkrai,2010-10-04
Zarinsk,russia,48461,altajkrai,2010-10-04
Zav'jalovo [Zavyalovo],russia,6928,altajkrai,2010-10-04
Zmeinogorsk,russia,10955,altajkrai,2010-10-04
Zonal'noje [Zonalnoye],russia,3402,altajkrai,2010-10-04
Zudilovo,russia,4025,altajkrai,2010-10-04
Archara [Arkhara],russia,9585,amur,2010-10-04
Belogorje [Belogorye],russia,2893,amur,2010-10-04
Belogorsk,russia,68249,amur,2010-10-04
Blagoveščensk [Blagoveshchensk],russia,214390,amur,2010-10-04
Bureja [Bureya],russia,4833,amur,2010-10-04
Čigiri [Chigiri],russia,4299,amur,2010-10-04
"Ciolkovskij [Tsiolkovsky, Uglegorsk]",russia,5892,amur,2010-10-04
Èkimčan [Ekimchan],russia,1212,amur,2010-10-04
Fevral'sk [Fevralsk],russia,5128,amur,2010-10-04
Ivanovka,russia,6617,amur,2010-10-04
Jekaterinoslavka [Yekaterinoslavka],russia,9723,amur,2010-10-04
Jerofej Pavlovič [Yerofey Pavlovich],russia,5164,amur,2010-10-04
Konstantinovka,russia,5329,amur,2010-10-04
Magdagači [Magdagachi],russia,10897,amur,2010-10-04
Novoburejskij [Novobureysky],russia,8344,amur,2010-10-04
Novokijevskij Uval [Novokiyevsky Uval],russia,4315,amur,2010-10-04
Novorajčichinsk [Novoraychikhinsk],russia,2143,amur,2010-10-04
Pojarkovo [Poyarkovo],russia,6952,amur,2010-10-04
Progress,russia,11156,amur,2010-10-04
Rajčichinsk [Raychikhinsk],russia,20534,amur,2010-10-04
Seryševo [Seryshevo],russia,10816,amur,2010-10-04
Šimanovsk [Shimanovsk],russia,19815,amur,2010-10-04
Sivaki,russia,2056,amur,2010-10-04
Skovorodino,russia,9564,amur,2010-10-04
Srednebelaja [Srednebelaya],russia,4027,amur,2010-10-04
Svobodnyj [Svobodny],russia,58778,amur,2010-10-04
Talakan,russia,5176,amur,2010-10-04
Tambovka,russia,7613,amur,2010-10-04
Tokur,russia,1091,amur,2010-10-04
Tynda,russia,36275,amur,2010-10-04
Uruša [Urusha],russia,3777,amur,2010-10-04
Ušumun [Ushumun],russia,2390,amur,2010-10-04
Vozžajevka [Vozzhayevka],russia,6027,amur,2010-10-04
Zavitinsk,russia,11481,amur,2010-10-04
Zeja [Zeya],russia,24986,amur,2010-10-04
Amderma,russia,541,archangelsk,2010-10-04
Archangel'sk [Arkhangelsk],russia,348783,archangelsk,2010-10-04
Beluš'ja Guba [Belushya Guba],russia,1972,archangelsk,2010-10-04
Bereznik,russia,6018,archangelsk,2010-10-04
Cholmogory [Kholmogory],russia,4150,archangelsk,2010-10-04
Iskatelej [Iskateley],russia,6881,archangelsk,2010-10-04
Jarensk [Yarensk],russia,3660,archangelsk,2010-10-04
Kargopol',russia,10214,archangelsk,2010-10-04
Karpogory,russia,4443,archangelsk,2010-10-04
Katunino,russia,3443,archangelsk,2010-10-04
Konoša [Konosha],russia,12432,archangelsk,2010-10-04
Korjažma [Koryazhma],russia,39641,archangelsk,2010-10-04
Kotlas,russia,60562,archangelsk,2010-10-04
Krasnoborsk,russia,4771,archangelsk,2010-10-04
Kuloj [Kuloy],russia,5946,archangelsk,2010-10-04
Lešukonskoje [Leshukonskoye],russia,4406,archangelsk,2010-10-04
Malošujka [Maloshuyka],russia,2886,archangelsk,2010-10-04
Mezen',russia,3575,archangelsk,2010-10-04
Mirnyj [Mirny],russia,30280,archangelsk,2010-10-04
Nar'jan-Mar [Naryan-Mar],russia,21658,archangelsk,2010-10-04
Njandoma [Nyandoma],russia,22356,archangelsk,2010-10-04
Novodvinsk,russia,40615,archangelsk,2010-10-04
Obozerskij [Obozersky],russia,3620,archangelsk,2010-10-04
Oktjabr'skij [Oktyabrsky],russia,9307,archangelsk,2010-10-04
Onega,russia,21359,archangelsk,2010-10-04
Pleseck [Plesetsk],russia,11037,archangelsk,2010-10-04
Privodino,russia,3161,archangelsk,2010-10-04
Savinskij [Savinsky],russia,7661,archangelsk,2010-10-04
Šenkursk [Shenkursk],russia,5702,archangelsk,2010-10-04
Severodvinsk,russia,192353,archangelsk,2010-10-04
Severoonežsk [Severoonezhsk],russia,5289,archangelsk,2010-10-04
Šipicyno [Shipitsyno],russia,3452,archangelsk,2010-10-04
Sol'vyčegodsk [Solvychegodsk],russia,2460,archangelsk,2010-10-04
Ujemskij [Uyemsky],russia,3742,archangelsk,2010-10-04
Urdoma,russia,4577,archangelsk,2010-10-04
Vel'sk [Velsk],russia,23885,archangelsk,2010-10-04
Vyčegodskij [Vychegodsky],russia,12861,archangelsk,2010-10-04
Achtubinsk [Akhtubinsk],russia,41853,astrakhan,2010-10-04
Astrachan' [Astrakhan],russia,520339,astrakhan,2010-10-04
Čërnyj Jar [Chyorny Yar],russia,7779,astrakhan,2010-10-04
Charabali [Kharabali],russia,18117,astrakhan,2010-10-04
Ikrjanoje [Ikryanoye],russia,10036,astrakhan,2010-10-04
Il'inka [Ilyinka],russia,4650,astrakhan,2010-10-04
Jaksatovo [Yaksatovo],russia,3576,astrakhan,2010-10-04
Jandyki [Yandyki],russia,3135,astrakhan,2010-10-04
Jenotajevka [Yenotayevka],russia,7616,astrakhan,2010-10-04
Kamyzjak [Kamyzyak],russia,16314,astrakhan,2010-10-04
Kapustin Jar [Kapustin Yar],russia,5724,astrakhan,2010-10-04
Karagali,russia,2410,astrakhan,2010-10-04
Kilinči [Kilinchi],russia,3137,astrakhan,2010-10-04
Kirovskij [Kirovsky],russia,2249,astrakhan,2010-10-04
Kirpičnogo Zavoda № 1 [Kirpichnogo Zavoda № 1],russia,3041,astrakhan,2010-10-04
Krasnyje Barrikady [Krasnye Barrikady],russia,6488,astrakhan,2010-10-04
Krasnyj Jar [Krasny Yar],russia,11824,astrakhan,2010-10-04
Liman,russia,9024,astrakhan,2010-10-04
Načalovo [Nachalovo],russia,5451,astrakhan,2010-10-04
Narimanov,russia,11521,astrakhan,2010-10-04
Nikol'skoje [Nikolskoye],russia,5234,astrakhan,2010-10-04
Nižnij Baskunčak [Nizhny Baskunchak],russia,2789,astrakhan,2010-10-04
Obrazcovo-Travino [Obraztsovo-Travino],russia,2730,astrakhan,2010-10-04
Oranžerei [Oranzherei],russia,4473,astrakhan,2010-10-04
Osypnoj Bugor [Osypnoy Bugor],russia,3381,astrakhan,2010-10-04
Sasykoli,russia,5224,astrakhan,2010-10-04
Soljanka [Solyanka],russia,3738,astrakhan,2010-10-04
Starokučerganovka [Starokucherganovka],russia,6042,astrakhan,2010-10-04
Tri Protoka,russia,2569,astrakhan,2010-10-04
Verchnij Baskunčak [Verkhny Baskunchak],russia,8411,astrakhan,2010-10-04
Volgo-Kaspijskij [Volgo-Kaspysky],russia,2581,astrakhan,2010-10-04
Volodarskij [Volodarsky],russia,10005,astrakhan,2010-10-04
Volžskoje [Volzhskoye],russia,3133,astrakhan,2010-10-04
Znamensk,russia,29401,astrakhan,2010-10-04
Agidel',russia,16370,bashkortostan,2010-10-04
Akberdino,russia,1009,bashkortostan,2010-10-04
Ak''jar [Akayar],russia,6941,bashkortostan,2010-10-04
Aksakovo,russia,3131,bashkortostan,2010-10-04
Aleksejevka [Alexeyevka],russia,4611,bashkortostan,2010-10-04
Alkino-2,russia,4996,bashkortostan,2010-10-04
Amzja [Amzya],russia,4993,bashkortostan,2010-10-04
Archangel'skoje [Arkhangelskoye],russia,5819,bashkortostan,2010-10-04
Askarovo,russia,7634,bashkortostan,2010-10-04
Askino,russia,6918,bashkortostan,2010-10-04
Avdon,russia,5201,bashkortostan,2010-10-04
Bajmak [Baymak],russia,17710,bashkortostan,2010-10-04
Bakaly,russia,9568,bashkortostan,2010-10-04
Belebej [Belebey],russia,60188,bashkortostan,2010-10-04
Beloreck [Beloretsk],russia,68806,bashkortostan,2010-10-04
Birsk,russia,41635,bashkortostan,2010-10-04
Bižbuljak [Bizhbulyak],russia,6446,bashkortostan,2010-10-04
Blagoveščensk [Blagoveshchensk],russia,34239,bashkortostan,2010-10-04
Bol'šeust'ikinskoje [Bolsheustyikinskoye],russia,7839,bashkortostan,2010-10-04
Bulgakovo,russia,3591,bashkortostan,2010-10-04
Burajevo [Burayevo],russia,9522,bashkortostan,2010-10-04
Buribaj [Buribay],russia,4553,bashkortostan,2010-10-04
Buzdjak [Buzdyak],russia,10323,bashkortostan,2010-10-04
Čekmaguš [Chekmagush],russia,11382,bashkortostan,2010-10-04
Česnokovka [Chesnokovka],russia,3333,bashkortostan,2010-10-04
Čišmy [Chishmy],russia,21196,bashkortostan,2010-10-04
Davlekanovo,russia,24073,bashkortostan,2010-10-04
Djurtjuli [Dyurtyuli],russia,31274,bashkortostan,2010-10-04
Dmitrijevka [Dmitriyevka],russia,4351,bashkortostan,2010-10-04
Dorogino,russia,225,bashkortostan,2010-10-04
Duvan,russia,3669,bashkortostan,2010-10-04
Ènergetik [Energetik],russia,3450,bashkortostan,2010-10-04
Fëdorovka [Fyodorovka],russia,4306,bashkortostan,2010-10-04
Iglino,russia,16811,bashkortostan,2010-10-04
Inzer,russia,4329,bashkortostan,2010-10-04
Išimbaj [Ishimbay],russia,66259,bashkortostan,2010-10-04
Isjangulovo [Isyangulovo],russia,7418,bashkortostan,2010-10-04
Janaul [Yanaul],russia,26924,bashkortostan,2010-10-04
Jazykovo [Yazykovo],russia,6368,bashkortostan,2010-10-04
Jermekejevo [Yermekeyevo],russia,3937,bashkortostan,2010-10-04
Jermolajevo [Yermolayevo],russia,6397,bashkortostan,2010-10-04
Jumaguzino [Yumaguzino],russia,4564,bashkortostan,2010-10-04
Kabakovo,russia,3141,bashkortostan,2010-10-04
Kaltasy,russia,4418,bashkortostan,2010-10-04
Kandry,russia,10885,bashkortostan,2010-10-04
Karaidel',russia,5980,bashkortostan,2010-10-04
Karmaskaly,russia,8540,bashkortostan,2010-10-04
Kirgiz-Mijaki [Kirgiz-Miyaki],russia,7473,bashkortostan,2010-10-04
Krasnaja Gorka [Krasnaya Gorka],russia,4280,bashkortostan,2010-10-04
Krasnocholmskij [Krasnokholmsky],russia,8021,bashkortostan,2010-10-04
Krasnousol'skij [Krasnousolsky],russia,11991,bashkortostan,2010-10-04
Kudejevskij [Kudeyevsky],russia,3091,bashkortostan,2010-10-04
Kujanovo [Kuyanovo],russia,3664,bashkortostan,2010-10-04
Kumertau,russia,62851,bashkortostan,2010-10-04
Kušnarenkovo [Kushnarenkovo],russia,9870,bashkortostan,2010-10-04
Malojaz [Maloyaz],russia,4914,bashkortostan,2010-10-04
Mariinskij [Mariinsky],russia,1896,bashkortostan,2010-10-04
Meleuz,russia,61390,bashkortostan,2010-10-04
Mesjagutovo [Mesyagutovo],russia,10883,bashkortostan,2010-10-04
Mežgorje [Mezhgorye],russia,17352,bashkortostan,2010-10-04
Michajlovka [Mikhaylovka],russia,5384,bashkortostan,2010-10-04
Milovka,russia,2767,bashkortostan,2010-10-04
Miškino [Mishkino],russia,6021,bashkortostan,2010-10-04
Mrakovo,russia,8690,bashkortostan,2010-10-04
Nagajevo [Nagayevo],russia,1479,bashkortostan,2010-10-04
Naumovka,russia,2935,bashkortostan,2010-10-04
Neftekamsk,russia,121733,bashkortostan,2010-10-04
Nikolo-Berëzovka [Nikolo-Beryozovka],russia,6099,bashkortostan,2010-10-04
Nižegorodka [Nizhegorodka],russia,2541,bashkortostan,2010-10-04
Nižnetroickij [Nizhnetroitsky],russia,4008,bashkortostan,2010-10-04
Novobelokataj [Novobelokatay],russia,5961,bashkortostan,2010-10-04
Oktjabr'skij [Oktyabrsky],russia,109474,bashkortostan,2010-10-04
Pavlovka,russia,4143,bashkortostan,2010-10-04
Pribel'skij [Pribelsky],russia,4859,bashkortostan,2010-10-04
Prijutovo [Priyutovo],russia,20891,bashkortostan,2010-10-04
Rajevskij [Rayevsky],russia,19557,bashkortostan,2010-10-04
Salavat,russia,156095,bashkortostan,2010-10-04
Šamonino [Shamonino],russia,258,bashkortostan,2010-10-04
Šaran [Sharan],russia,5929,bashkortostan,2010-10-04
Semiletka,russia,3977,bashkortostan,2010-10-04
Serafimovskij [Serafimovsky],russia,9813,bashkortostan,2010-10-04
Sibaj [Sibay],russia,62763,bashkortostan,2010-10-04
Šingak-Kul' [Shingak-Kul],russia,2975,bashkortostan,2010-10-04
Starobaltačevo [Starobaltachevo],russia,5598,bashkortostan,2010-10-04
Starosubchangulovo [Starosubkhangulovo],russia,4609,bashkortostan,2010-10-04
Staryj Sibaj [Stary Sibay],russia,2746,bashkortostan,2010-10-04
Sterlibaševo [Sterlibashevo],russia,5930,bashkortostan,2010-10-04
Sterlitamak,russia,273486,bashkortostan,2010-10-04
Subchankulovo [Subkhankulovo],russia,5598,bashkortostan,2010-10-04
Temjasovo [Temyasovo],russia,3529,bashkortostan,2010-10-04
Tirljanskij [Tirlyansky],russia,4427,bashkortostan,2010-10-04
Tolbazy,russia,10114,bashkortostan,2010-10-04
Tujmazy [Tuymazy],russia,66836,bashkortostan,2010-10-04
Učaly [Uchaly],russia,37788,bashkortostan,2010-10-04
Učaly [Uchaly],russia,6049,bashkortostan,2010-10-04
Ufa,russia,1062319,bashkortostan,2010-10-04
Ulukulevo,russia,4546,bashkortostan,2010-10-04
Ulu-Teljak [Ulu-Telyak],russia,3408,bashkortostan,2010-10-04
Verchnejarkejevo [Verkhneyarkeyevo],russia,9710,bashkortostan,2010-10-04
Verchnije Kigi [Verkhniye Kigi],russia,6637,bashkortostan,2010-10-04
Verchnije Tatyšly [Verkhniye Tatyshly],russia,6645,bashkortostan,2010-10-04
Zilair,russia,5585,bashkortostan,2010-10-04
Zirgan,russia,4125,bashkortostan,2010-10-04
Zubovo,russia,2042,bashkortostan,2010-10-04
Žukovo [Zhukovo],russia,1685,bashkortostan,2010-10-04
Aleksejevka [Alexeyevka],russia,39026,belgorod,2010-10-04
Bechtejevka [Bekhteyevka],russia,3290,belgorod,2010-10-04
Belgorod,russia,356402,belgorod,2010-10-04
Belovskoje [Belovskoye],russia,2040,belgorod,2010-10-04
Birjuč [Biryuch],russia,7846,belgorod,2010-10-04
Bližnjaja Igumenka [Blizhnyaya Igumenka],russia,1063,belgorod,2010-10-04
Borisovka,russia,13896,belgorod,2010-10-04
Černjanka [Chernyanka],russia,15217,belgorod,2010-10-04
Dubovoje [Dubovoye],russia,8627,belgorod,2010-10-04
Golovčino [Golovchino],russia,4716,belgorod,2010-10-04
Gorodišče [Gorodishche],russia,3562,belgorod,2010-10-04
Grajvoron [Grayvoron],russia,6234,belgorod,2010-10-04
Gubkin,russia,88560,belgorod,2010-10-04
Ivnja [Ivnya],russia,7933,belgorod,2010-10-04
Jakovlevo [Yakovlevo],russia,2905,belgorod,2010-10-04
Komsomol'skij [Komsomolsky],russia,2201,belgorod,2010-10-04
Koroča [Korocha],russia,5877,belgorod,2010-10-04
Krasnaja Jaruga [Krasnaya Yaruga],russia,8028,belgorod,2010-10-04
Livenka,russia,3870,belgorod,2010-10-04
Majskij [Maysky],russia,8748,belgorod,2010-10-04
Maslova Pristan',russia,5819,belgorod,2010-10-04
Nikol'skoje [Nikolskoye],russia,2778,belgorod,2010-10-04
Novaja Tavolžanka [Novaya Tavolzhanka],russia,5324,belgorod,2010-10-04
Novosadovyj [Novosadovy],russia,1994,belgorod,2010-10-04
Novyj Oskol [Novy Oskol],russia,19530,belgorod,2010-10-04
Oktjabr'skij [Oktyabrsky],russia,7456,belgorod,2010-10-04
Pjatnickoje [Pyatnitskoye],russia,4536,belgorod,2010-10-04
Prochorovka [Prokhorovka],russia,9761,belgorod,2010-10-04
Proletarskij [Proletarsky],russia,8654,belgorod,2010-10-04
Puškarnoje [Pushkarnoye],russia,3332,belgorod,2010-10-04
Rakitnoje [Rakitnoye],russia,10286,belgorod,2010-10-04
Razumnoje [Razumnoye],russia,16600,belgorod,2010-10-04
Roven'ki [Rovenki],russia,10264,belgorod,2010-10-04
Šebekino [Shebekino],russia,44279,belgorod,2010-10-04
Severnyj [Severny],russia,9847,belgorod,2010-10-04
Skorodnoje [Skorodnoye],russia,3707,belgorod,2010-10-04
Staryj Oskol [Stary Oskol],russia,221085,belgorod,2010-10-04
Streleckoje [Streletskoye],russia,6862,belgorod,2010-10-04
Stroitel',russia,23933,belgorod,2010-10-04
Tavrovo,russia,5192,belgorod,2010-10-04
Tomarovka,russia,8094,belgorod,2010-10-04
Troickij [Troitsky],russia,6214,belgorod,2010-10-04
Urazovo,russia,6982,belgorod,2010-10-04
Valujki [Valuyki],russia,35322,belgorod,2010-10-04
Vejdelevka [Veydelevka],russia,7008,belgorod,2010-10-04
Volokonovka,russia,11552,belgorod,2010-10-04
Zasosna,russia,4213,belgorod,2010-10-04
Altuchovo [Altukhovo],russia,1784,bryansk,2010-10-04
Belaja Berëzka [Belaya Berezka],russia,6283,bryansk,2010-10-04
Belyje Berega [Belye Berega],russia,9642,bryansk,2010-10-04
Bol'šoje Polpino [Bolshoye Polpino],russia,6356,bryansk,2010-10-04
Brjansk [Bryansk],russia,415721,bryansk,2010-10-04
Bytoš' [Bytosh],russia,4255,bryansk,2010-10-04
Černec [Chernets],russia,38,bryansk,2010-10-04
Djat'kovo [Dyatkovo],russia,29439,bryansk,2010-10-04
Dobrun',russia,4482,bryansk,2010-10-04
Dubrovka,russia,8015,bryansk,2010-10-04
Fokino,russia,13876,bryansk,2010-10-04
Gliniščevo [Glinishchevo],russia,4367,bryansk,2010-10-04
Ivot,russia,6374,bryansk,2010-10-04
Karačev [Karachev],russia,19715,bryansk,2010-10-04
Kletnja [Kletnya],russia,13313,bryansk,2010-10-04
Klimovo,russia,13892,bryansk,2010-10-04
Klincy [Klintsy],russia,62510,bryansk,2010-10-04
Kokino,russia,3863,bryansk,2010-10-04
Kokorevka,russia,1962,bryansk,2010-10-04
Komariči [Komarichi],russia,7686,bryansk,2010-10-04
Krasnaja Gora [Krasnaya Gora],russia,5906,bryansk,2010-10-04
Ljubochna [Lyubokhna],russia,5446,bryansk,2010-10-04
Lokot',russia,10028,bryansk,2010-10-04
Mglin,russia,7916,bryansk,2010-10-04
Mičurinskij [Michurinsky],russia,2576,bryansk,2010-10-04
Navlja [Navlya],russia,14361,bryansk,2010-10-04
Novozybkov,russia,40553,bryansk,2010-10-04
Počep [Pochep],russia,17161,bryansk,2010-10-04
Pogar,russia,9990,bryansk,2010-10-04
Putëvka [Putyovka],russia,4736,bryansk,2010-10-04
Radica-Krylovka [Raditsa-Krylovka],russia,3526,bryansk,2010-10-04
Ramasucha [Ramasukha],russia,481,bryansk,2010-10-04
Rognedino,russia,3158,bryansk,2010-10-04
Ržanica [Rzhanitsa],russia,5032,bryansk,2010-10-04
Sel'co [Seltso],russia,17934,bryansk,2010-10-04
Sevsk,russia,7282,bryansk,2010-10-04
Star',russia,5003,bryansk,2010-10-04
Starodub,russia,19010,bryansk,2010-10-04
Suponevo,russia,8585,bryansk,2010-10-04
Suraž [Surazh],russia,11640,bryansk,2010-10-04
Suzemka,russia,9125,bryansk,2010-10-04
Trubčevsk [Trubchevsk],russia,15014,bryansk,2010-10-04
Uneča [Unecha],russia,26197,bryansk,2010-10-04
Vygoniči [Vygonichi],russia,4945,bryansk,2010-10-04
Vyškov [Vyshkov],russia,2700,bryansk,2010-10-04
Zajmišče [Zaymishche],russia,5297,bryansk,2010-10-04
Zlynka,russia,5507,bryansk,2010-10-04
Žukovka [Zhukovka],russia,18269,bryansk,2010-10-04
Babuškin [Babushkin],russia,4831,buryatia,2010-10-04
Bagdarin,russia,4735,buryatia,2010-10-04
Barguzin,russia,5702,buryatia,2010-10-04
Bičura [Bichura],russia,9145,buryatia,2010-10-04
Chorinsk [Khorinsk],russia,8138,buryatia,2010-10-04
Èrchirik [Erkhirik],russia,2260,buryatia,2010-10-04
Gurul'ba [Gurulba],russia,2711,buryatia,2010-10-04
Gusinoozërsk [Gusinoozyorsk],russia,24582,buryatia,2010-10-04
Il'inka [Ilyinka],russia,4203,buryatia,2010-10-04
Ivolginsk,russia,7382,buryatia,2010-10-04
Jančukan [Yanchukan],russia,392,buryatia,2010-10-04
Kabansk,russia,6038,buryatia,2010-10-04
Kamensk,russia,7160,buryatia,2010-10-04
Kičera [Kichera],russia,1375,buryatia,2010-10-04
Kižinga [Kizhinga],russia,6373,buryatia,2010-10-04
Kjachta [Kyakhta],russia,20024,buryatia,2010-10-04
