Name,Native,Status,12/01/1989,09/10/2002,14/10/2010,01/10/2021,Oblast
Majma [Mayma],Майма,Village,Majminskij Rajon,"15,344","16,174","16,890",altaj
Ongudaj [Onguday],Онгудай,Village,Ongudajskij Rajon,"5,376","5,655","5,786",altaj
Šebalino [Shebalino],Шебалино,Village,Šebalinskij Rajon,"4,912","4,924","4,685",altaj
Turočak [Turochak],Турочак,Village,Turočakskij Rajon,"5,484","5,582","5,250",altaj
Ulagan,Улаган,Village,Ulaganskij Rajon,"2,609","3,222","4,203",altaj
Ust'-Kan [Ust-Kan],Усть-Кан,Village,Ust'-Kanskij Rajon,"3,528","4,123","4,892",altaj
Ust'-Koksa [Ust-Koksa],Усть-Кокса,Village,Ust'-Koksinskij Rajon,"3,986","4,373","4,810",altaj
Alejsk [Aleysk],Алейск,City,Alejsk,"28,551","29,510","25,380",altajkrai
Altajskoje [Altayskoye],Алтайское,Village,Altajskij Rajon,"13,962","13,713","14,068",altajkrai
Bajevo [Bayevo],Баево,Village,Bajevskij Rajon,"5,175","4,707","3,957",altajkrai
Barnaul,Барнаул,City,Barnaul,"600,749","612,401","630,877",altajkrai
Bel'mesëvo [Belmesyovo],Бельмесёво,Rural Settlement,Barnaul,843,"1,459","4,341",altajkrai
Belokuricha [Belokurikha],Белокуриха,City,Belokuricha,"14,533","14,661","14,735",altajkrai
Berëzovka [Beryozovka],Берёзовка,Village,Pervomajskij Rajon,"3,916","4,588","4,973",altajkrai
Bijsk [Biysk],Бийск,City,Bijsk,"232,932","210,115","183,852",altajkrai
Blagoveščenka [Blagoveshchenka],Благовещенка,Urban Settlement,Blagoveščenskij Rajon,"12,416","11,626","10,558",altajkrai
Bobrovka,Бобровка,Village,Pervomajskij Rajon,"2,851","3,079","3,587",altajkrai
Borovicha [Borovikha],Боровиха,Village,Pervomajskij Rajon,"6,765","7,037","6,357",altajkrai
Burla,Бурла,Village,Burlinskij Rajon,"4,719","4,304","3,275",altajkrai
Celinnoje [Tselinnoye],Целинное,Village,Celinnyj Rajon,"5,882","5,276","4,728",altajkrai
Central'nyj [Tsentralny],Центральный,Rural Settlement,Barnaul,"1,823","1,955","4,478",altajkrai
Čerëmnoje [Cheryomnoye],Черёмное,Village,Pavlovskij Rajon,"4,493","4,454","4,085",altajkrai
Chabary [Khabary],Хабары,Village,Chabarskij Rajon,"5,942","5,552","4,963",altajkrai
Gornjak [Gornyak],Горняк,City,Loktevskij Rajon,"15,779","13,918","10,112",altajkrai
Jarovoje [Yarovoye],Яровое,City,Jarovoje,"21,363","18,604","16,424",altajkrai
Južnyj [Yuzhny],Южный,Urban Settlement,Barnaul,"19,669","19,233","18,098",altajkrai
Kamen'-na-Obi [Kamen-na-Obi],Камень-на-Оби,City,Kamenskij Rajon,"44,375","43,888","32,385",altajkrai
Kazënnaja Zaimka [Kazyonnaya Zaimka],Казённая Заимка,Rural Settlement,Barnaul,"1,050","2,332","3,100",altajkrai
Ključi [Klyuchi],Ключи,Village,Ključevskij Rajon,"9,278","8,892","7,107",altajkrai
Kosicha [Kosikha],Косиха,Village,Kosichinskij Rajon,"5,656","5,229","4,673",altajkrai
Krasnogorskoje [Krasnogorskoye],Красногорское,Village,Krasnogorskij Rajon,"6,756","5,993","5,275",altajkrai
Krasnoščëkovo [Krasnoshchyokovo],Краснощёково,Village,Krasnoščëkovskij Rajon,"5,506","5,078","4,492",altajkrai
Kruticha [Krutikha],Крутиха,Village,Krutichinskij Rajon,"4,328","3,804","3,010",altajkrai
Kulunda,Кулунда,Village,Kulundinskij Rajon,"15,466","14,527","14,708",altajkrai
Kur'ja [Kurya],Курья,Village,Kur'inskij Rajon,"4,292","3,835","3,426",altajkrai
Kytmanovo,Кытманово,Village,Kytmanovskij Rajon,"4,216","3,873","3,298",altajkrai
Lebjažje [Lebyazhye],Лебяжье,Village,Barnaul,"4,595","5,199","4,568",altajkrai
Lesnoj [Lesnoy],Лесной,Rural Settlement,Barnaul,"1,093","1,514","3,278",altajkrai
Malinovoje Ozero [Malinovoye Ozero],Малиновое Озеро,Urban Settlement,Michajlovskij Rajon,"4,133","3,586","2,680",altajkrai
Mamontovo,Мамонтово,Village,Mamontovskij Rajon,"9,348","8,784","8,251",altajkrai
Michajlovskoje [Mikhaylovskoye],Михайловское,Village,Michajlovskij Rajon,"11,558","11,020","8,907",altajkrai
Nagornyj [Nagorny],Нагорный,Rural Settlement,Bijsk,"6,358","7,542","6,337",altajkrai
Nalobicha [Nalobikha],Налобиха,Village,Kosichinskij Rajon,"4,486","4,273","3,266",altajkrai
Novičicha [Novichikha],Новичиха,Village,Novičichinskij Rajon,"4,495","4,284","3,711",altajkrai
Novoaltajsk [Novoaltaysk],Новоалтайск,City,Novoaltajsk,"73,544","70,437","73,049",altajkrai
Novojegorjevskoje [Novoyegoryevskoye],Новоегорьевское,Village,Jegorjevskij Rajon,"6,217","5,794","5,020",altajkrai
Novyje Zori [Novye Zori],Новые Зори,Rural Settlement,Pavlovskij Rajon,"3,354","3,269","3,172",altajkrai
Ozërki [Ozyorki],Озёрки,Village,Tal'menskij Rajon,"4,361","5,082","4,527",altajkrai
Pankrušicha [Pankrushikha],Панкрушиха,Village,Pankrušichinskij Rajon,"5,201","4,916","4,108",altajkrai
Pavlovsk,Павловск,Village,Pavlovskij Rajon,"14,944","14,533","13,850",altajkrai
Pervomajskoje [Pervomayskoye],Первомайское,Village,Bijskij Rajon,"5,279","5,303","5,275",altajkrai
Pervomajskoje [Pervomayskoye],Первомайское,Village,Pervomajskij Rajon,"5,143","4,796","4,070",altajkrai
Pospelicha [Pospelikha],Поспелиха,Village,Pospelichinskij Rajon,"13,693","12,496","10,423",altajkrai
Rebricha [Rebrikha],Ребриха,Village,Rebrichinskij Rajon,"8,928","8,468","7,544",altajkrai
Rodino,Родино,Village,Rodinskij Rajon,"9,612","8,597","7,435",altajkrai
Romanovo,Романово,Village,Romanovskij Rajon,"6,104","5,624","5,109",altajkrai
Rubcovsk [Rubtsovsk],Рубцовск,City,Rubcovsk,"163,063","147,002","126,834",altajkrai
Sannikovo,Санниково,Village,Pervomajskij Rajon,"2,359","2,609","3,832",altajkrai
Šelabolicha [Shelabolikha],Шелаболиха,Village,Šelabolichinskij Rajon,"4,332","4,006","3,398",altajkrai
Sibirskij [Sibirsky],Сибирский,Urban Settlement,Sibirskij,"12,046","11,306","10,520",altajkrai
Šipunovo [Shipunovo],Шипуново,Village,Šipunovskij Rajon,"11,521","12,127","9,810",altajkrai
Slavgorod,Славгород,City,Slavgorod,"34,335","32,389","27,900",altajkrai
Slavgorodskoje [Slavgorodskoye],Славгородское,Village,Slavgorod,"3,712","3,524","3,633",altajkrai
Smolenskoje [Smolenskoye],Смоленское,Village,Smolenskij Rajon,"9,506","8,985","7,992",altajkrai
Solonešnoje [Soloneshnoye],Солонешное,Village,Solonešenskij Rajon,"4,753","4,441","3,626",altajkrai
Sovetskoje [Sovetskoye],Советское,Village,Sovetskij Rajon,"5,484","5,233","4,634",altajkrai
Staroalejskoje [Staroaleyskoye],Староалейское,Village,Tret'jakovskij Rajon,"5,077","4,769","4,195",altajkrai
Stepnoje Ozero [Stepnoye Ozero],Степное Озеро,Urban Settlement,Blagoveščenskij Rajon,"7,184","6,672","5,639",altajkrai
Tabuny,Табуны,Village,Tabunskij Rajon,"3,981","3,876","3,238",altajkrai
Tal'menka [Talmenka],Тальменка,Urban Settlement,Tal'menskij Rajon,"20,061","18,814","18,070",altajkrai
Tjumencevo [Tyumentsevo],Тюменцево,Village,Tjumencevskij Rajon,"5,805","5,576","4,446",altajkrai
Togul,Тогул,Village,Togul'skij Rajon,"4,976","4,349","3,494",altajkrai
Topčicha [Topchikha],Топчиха,Village,Topčichinskij Rajon,"9,375","8,815","7,812",altajkrai
Troickoje [Troitskoye],Троицкое,Village,Troickij Rajon,"10,973","10,033","9,006",altajkrai
Uglovskoje [Uglovskoye],Угловское,Village,Uglovskij Rajon,"4,781","4,368","3,878",altajkrai
Ust'-Čaryšskaja Pristan' [Ust-Charyshskaya Pristan],Усть-Чарышская Пристань,Village,Ust'-Pristanskij Rajon,"5,692","5,023","3,887",altajkrai
Ust'-Kalmanka [Ust-Kalmanka],Усть-Калманка,Village,Ust'-Kalmanskij Rajon,"6,712","6,371","5,223",altajkrai
Vesëlojarsk [Vesyoloyarsk],Весёлоярск,Village,Rubcovskij Rajon,"5,271","4,799","4,198",altajkrai
Vlasicha [Vlasikha],Власиха,Village,Barnaul,"4,724","9,160","12,973",altajkrai
Volčicha [Volchikha],Волчиха,Village,Volčichinskij Rajon,"11,301","10,396","8,470",altajkrai
Zalesovo,Залесово,Village,Zalesovskij Rajon,"7,999","7,290","6,538",altajkrai
Zarinsk,Заринск,City,Zarinsk,"50,368","48,461","41,272",altajkrai
Zav'jalovo [Zavyalovo],Завьялово,Village,Zav'jalovskij Rajon,"7,451","6,928","6,258",altajkrai
Zmeinogorsk,Змеиногорск,City,Zmeinogorskij Rajon,"11,625","10,955","9,410",altajkrai
Zonal'noje [Zonalnoye],Зональное,Village,Zonal'nyj Rajon,"3,528","3,402","3,013",altajkrai
Zudilovo,Зудилово,Village,Pervomajskij Rajon,"3,169","4,025","5,155",altajkrai
Archara [Arkhara],Архара,Urban Settlement,Archarinskij Rajon,"10,847","9,585","7,813",amur
Belogorje [Belogorye],Белогорье,Village,Blagoveščensk,"2,887","2,893","3,136",amur
Belogorsk,Белогорск,City,Belogorsk,"67,422","68,249","61,440",amur
Blagoveščensk [Blagoveshchensk],Благовещенск,City,Blagoveščensk,"219,221","214,390","241,437",amur
Bureja [Bureya],Бурея,Urban Settlement,Burejskij Rajon,"5,598","4,833","3,482",amur
Čigiri [Chigiri],Чигири,Village,Blagoveščenskij Rajon,"2,570","4,299","18,538",amur
"Ciolkovskij [Tsiolkovsky, Uglegorsk]",Циолковский,City,Ciolkovskij,"5,050","5,892","7,194",amur
Èkimčan [Ekimchan],Экимчан,Urban Settlement,Selemdžinskij Rajon,"1,224","1,212",779,amur
Fevral'sk [Fevralsk],Февральск,Urban Settlement,Selemdžinskij Rajon,"4,690","5,128","3,678",amur
Ivanovka,Ивановка,Village,Ivanovskij Rajon,"6,765","6,617","6,516",amur
Jekaterinoslavka [Yekaterinoslavka],Екатеринославка,Village,Oktjabr'skij Rajon,"10,584","9,723","9,291",amur
Jerofej Pavlovič [Yerofey Pavlovich],Ерофей Павлович,Urban Settlement,Skovorodinskij Rajon,"5,625","5,164","4,364",amur
Konstantinovka,Константиновка,Village,Konstantinovskij Rajon,"5,930","5,329","4,743",amur
Magdagači [Magdagachi],Магдагачи,Urban Settlement,Magdagačinskij Rajon,"12,208","10,897","9,295",amur
Novoburejskij [Novobureysky],Новобурейский,Urban Settlement,Burejskij Rajon,"8,892","8,344","6,827",amur
Novokijevskij Uval [Novokiyevsky Uval],Новокиевский Увал,Village,Mazanovskij Rajon,"4,730","4,315","3,476",amur
Novorajčichinsk [Novoraychikhinsk],Новорайчихинск,Urban Settlement,Progress,"2,948","2,143","1,214",amur
Pojarkovo [Poyarkovo],Поярково,Village,Michajlovskij Rajon,"7,283","6,952","6,726",amur
Progress,Прогресс,Urban Settlement,Progress,"13,080","11,156","9,918",amur
Rajčichinsk [Raychikhinsk],Райчихинск,City,Rajčichinsk,"24,498","20,534","15,797",amur
Seryševo [Seryshevo],Серышево,Urban Settlement,Seryševskij Rajon,"12,186","10,816","9,345",amur
Šimanovsk [Shimanovsk],Шимановск,City,Šimanovsk,"22,267","19,815","16,488",amur
Sivaki,Сиваки,Urban Settlement,Magdagačinskij Rajon,"2,578","2,056","1,322",amur
Skovorodino,Сковородино,City,Skovorodinskij Rajon,"10,566","9,564","7,057",amur
Srednebelaja [Srednebelaya],Среднебелая,Village,Ivanovskij Rajon,"6,394","4,027","3,221",amur
Svobodnyj [Svobodny],Свободный,City,Svobodnyj,"63,889","58,778","48,517",amur
Talakan,Талакан,Urban Settlement,Burejskij Rajon,"6,545","5,176","3,311",amur
Tambovka,Тамбовка,Village,Tambovskij Rajon,"8,147","7,613","7,394",amur
Tokur,Токур,Urban Settlement,Selemdžinskij Rajon,"1,171","1,091",595,amur
Tynda,Тында,City,Tynda,"40,094","36,275","28,625",amur
Uruša [Urusha],Уруша,Urban Settlement,Skovorodinskij Rajon,"4,422","3,777","2,959",amur
Ušumun [Ushumun],Ушумун,Urban Settlement,Magdagačinskij Rajon,"2,920","2,390","1,750",amur
Vozžajevka [Vozzhayevka],Возжаевка,Village,Belogorskij Rajon,"7,280","6,027","5,551",amur
Zavitinsk,Завитинск,City,Zavitinskij Rajon,"14,248","11,481","9,615",amur
Zeja [Zeya],Зея,City,Zeja,"27,795","24,986","19,414",amur
Amderma,Амдерма,Rural Settlement,Zapoljarnyj Rajon,650,541,451,archangelsk
Archangel'sk [Arkhangelsk],Архангельск,City,Archangel'sk,"356,051","348,783","301,199",archangelsk
Beluš'ja Guba [Belushya Guba],Белушья Губа,Urban Settlement,Novaja Zemlja,"2,622","1,972","1,972",archangelsk
Bereznik,Березник,Rural Settlement,Vinogradovskij Rajon,"6,464","6,018","5,624",archangelsk
Cholmogory [Kholmogory],Холмогоры,Village,Cholmogorskij Rajon,"4,592","4,150","3,394",archangelsk
Iskatelej [Iskateley],Искателей,Urban Settlement,Zapoljarnyj Rajon,"6,981","6,881","7,266",archangelsk
Jarensk [Yarensk],Яренск,Village,Lenskij Rajon,"4,085","3,660","3,126",archangelsk
Kargopol',Каргополь,City,Kargopol'skij Rajon,"11,192","10,214","8,849",archangelsk
Karpogory,Карпогоры,Village,Pinežskij Rajon,"4,617","4,443","3,404",archangelsk
Katunino,Катунино,Rural Settlement,Primorskij Rajon,"3,384","3,443","3,562",archangelsk
Konoša [Konosha],Коноша,Urban Settlement,Konošskij Rajon,"12,873","12,432","10,470",archangelsk
Korjažma [Koryazhma],Коряжма,City,Korjažma,"42,811","39,641","34,523",archangelsk
Kotlas,Котлас,City,Kotlas,"60,647","60,562","56,093",archangelsk
Krasnoborsk,Красноборск,Village,Krasnoborskij Rajon,"5,030","4,771","4,015",archangelsk
Kuloj [Kuloy],Кулой,Urban Settlement,Vel'skij Rajon,"6,817","5,946","4,806",archangelsk
Lešukonskoje [Leshukonskoye],Лешуконское,Village,Lešukonskij Rajon,"5,003","4,406","3,550",archangelsk
Malošujka [Maloshuyka],Малошуйка,Urban Settlement,Onežskij Rajon,"3,164","2,886","1,999",archangelsk
Mezen',Мезень,City,Mezenskij Rajon,"3,863","3,575","2,874",archangelsk
Mirnyj [Mirny],Мирный,City,Mirnyj,"30,502","30,280","27,262",archangelsk
Nar'jan-Mar [Naryan-Mar],Нарьян-Мар,City,Nar'jan-Mar,"18,611","21,658","23,399",archangelsk
Njandoma [Nyandoma],Няндома,City,Njandomskij Rajon,"22,619","22,356","18,473",archangelsk
Novodvinsk,Новодвинск,City,Novodvinsk,"43,383","40,615","33,294",archangelsk
Obozerskij [Obozersky],Обозерский,Urban Settlement,Pleseckij Rajon,"3,725","3,620","3,438",archangelsk
Oktjabr'skij [Oktyabrsky],Октябрьский,Urban Settlement,Ust'janskij Rajon,"10,081","9,307","9,137",archangelsk
Onega,Онега,City,Onežskij Rajon,"23,430","21,359","16,947",archangelsk
Pleseck [Plesetsk],Плесецк,Urban Settlement,Pleseckij Rajon,"11,300","11,037","9,097",archangelsk
Privodino,Приводино,Urban Settlement,Kotlasskij Rajon,"3,264","3,161","3,161",archangelsk
Savinskij [Savinsky],Савинский,Urban Settlement,Pleseckij Rajon,"7,887","7,661","5,843",archangelsk
Šenkursk [Shenkursk],Шенкурск,City,Šenkurskij Rajon,"6,151","5,702","4,600",archangelsk
Severodvinsk,Северодвинск,City,Severodvinsk,"201,551","192,353","157,213",archangelsk
Severoonežsk [Severoonezhsk],Североонежск,Urban Settlement,Pleseckij Rajon,"5,624","5,289","4,824",archangelsk
Šipicyno [Shipitsyno],Шипицыно,Urban Settlement,Kotlasskij Rajon,"3,930","3,452","3,380",archangelsk
Sol'vyčegodsk [Solvychegodsk],Сольвычегодск,City,Kotlasskij Rajon,"2,843","2,460","1,952",archangelsk
Ujemskij [Uyemsky],Уемский,Rural Settlement,Primorskij Rajon,"3,735","3,742","4,232",archangelsk
Urdoma,Урдома,Urban Settlement,Lenskij Rajon,"4,637","4,577","4,042",archangelsk
Vel'sk [Velsk],Вельск,City,Vel'skij Rajon,"26,241","23,885","21,613",archangelsk
Vyčegodskij [Vychegodsky],Вычегодский,Urban Settlement,Kotlas,"13,435","12,861","10,839",archangelsk
Achtubinsk [Akhtubinsk],Ахтубинск,City,Achtubinskij Rajon,"45,542","41,853","35,635",astrakhan
Astrachan' [Astrakhan],Астрахань,City,Astrachan',"504,501","520,339","475,629",astrakhan
Čërnyj Jar [Chyorny Yar],Чёрный Яр,Village,Černojarskij Rajon,"8,043","7,779","6,775",astrakhan
Charabali [Kharabali],Харабали,City,Charabalinskij Rajon,"18,296","18,117","18,514",astrakhan
Ikrjanoje [Ikryanoye],Икряное,Village,Ikrjaninskij Rajon,"9,925","10,036","10,452",astrakhan
Il'inka [Ilyinka],Ильинка,Urban Settlement,Ikrjaninskij Rajon,"4,633","4,650","6,411",astrakhan
Jaksatovo [Yaksatovo],Яксатово,Village,Privolžskij Rajon,"3,391","3,576","3,749",astrakhan
Jandyki [Yandyki],Яндыки,Village,Limanskij Rajon,"3,427","3,135","3,111",astrakhan
Jenotajevka [Yenotayevka],Енотаевка,Village,Jenotajevskij Rajon,"8,022","7,616","8,140",astrakhan
Kamyzjak [Kamyzyak],Камызяк,City,Kamyzjakskij Rajon,"16,052","16,314","16,154",astrakhan
Kapustin Jar [Kapustin Yar],Капустин Яр,Village,Achtubinskij Rajon,"6,506","5,724","4,098",astrakhan
Karagali,Карагали,Village,Privolžskij Rajon,"2,244","2,410","3,064",astrakhan
Kilinči [Kilinchi],Килинчи,Village,Privolžskij Rajon,"2,751","3,137","3,679",astrakhan
Kirovskij [Kirovsky],Кировский,Urban Settlement,Kamyzjakskij Rajon,"2,259","2,249","2,035",astrakhan
Kirpičnogo Zavoda № 1 [Kirpichnogo Zavoda № 1],Кирпичного завода № 1,Rural Settlement,Privolžskij Rajon,"2,526","3,041","4,437",astrakhan
Krasnyje Barrikady [Krasnye Barrikady],Красные Баррикады,Urban Settlement,Ikrjaninskij Rajon,"6,304","6,488","6,592",astrakhan
Krasnyj Jar [Krasny Yar],Красный Яр,Village,Krasnojarskij Rajon,"10,926","11,824","12,254",astrakhan
Liman,Лиман,Urban Settlement,Limanskij Rajon,"8,899","9,024","9,014",astrakhan
Načalovo [Nachalovo],Началово,Village,Privolžskij Rajon,"4,830","5,451","12,459",astrakhan
Narimanov,Нариманов,City,Narimanovskij Rajon,"11,202","11,521","11,104",astrakhan
Nikol'skoje [Nikolskoye],Никольское,Village,Jenotajevskij Rajon,"5,305","5,234","5,305",astrakhan
Nižnij Baskunčak [Nizhny Baskunchak],Нижний Баскунчак,Urban Settlement,Achtubinskij Rajon,"3,167","2,789","2,106",astrakhan
Obrazcovo-Travino [Obraztsovo-Travino],Образцово-Травино,Village,Kamyzjakskij Rajon,"2,951","2,730","3,012",astrakhan
Oranžerei [Oranzherei],Оранжереи,Village,Ikrjaninskij Rajon,"4,387","4,473","4,352",astrakhan
Osypnoj Bugor [Osypnoy Bugor],Осыпной Бугор,Village,Privolžskij Rajon,"2,889","3,381","4,462",astrakhan
Sasykoli,Сасыколи,Village,Charabalinskij Rajon,"4,988","5,224","4,933",astrakhan
Soljanka [Solyanka],Солянка,Village,Narimanovskij Rajon,"3,188","3,738","5,995",astrakhan
Starokučerganovka [Starokucherganovka],Старокучергановка,Village,Narimanovskij Rajon,"5,684","6,042","6,833",astrakhan
Tri Protoka,Три Протока,Village,Privolžskij Rajon,"1,998","2,569","4,418",astrakhan
Verchnij Baskunčak [Verkhny Baskunchak],Верхний Баскунчак,Urban Settlement,Achtubinskij Rajon,"8,785","8,411","7,295",astrakhan
Volgo-Kaspijskij [Volgo-Kaspysky],Волго-Каспийский,Urban Settlement,Kamyzjakskij Rajon,"2,674","2,581","2,757",astrakhan
Volodarskij [Volodarsky],Володарский,Rural Settlement,Volodarskij Rajon,"9,553","10,005","11,200",astrakhan
Volžskoje [Volzhskoye],Волжское,Village,Narimanovskij Rajon,"2,845","3,133","3,279",astrakhan
Znamensk,Знаменск,City,Znamensk,"32,068","29,401","24,628",astrakhan
Agidel',Агидель,City,Agidel',"18,721","16,370","14,219",bashkortostan
Akberdino,Акбердино,Village,Iglinskij Rajon,778,"1,009","5,239",bashkortostan
Ak''jar [Akayar],Акъяр,Village,Chajbullinskij Rajon,"5,549","6,941","8,760",bashkortostan
Aksakovo,Аксаково,Village,Belebejevskij Rajon,"3,173","3,131","3,040",bashkortostan
Aleksejevka [Alexeyevka],Алексеевка,Hamlet,Ufimskij Rajon,"3,958","4,611","5,469",bashkortostan
Alkino-2,Алкино-2,Village,Čišminskij Rajon,"5,020","4,996","3,648",bashkortostan
Amzja [Amzya],Амзя,Village,Neftekamsk,"4,834","4,993","4,214",bashkortostan
Archangel'skoje [Arkhangelskoye],Архангельское,Village,Archangel'skij Rajon,"5,641","5,819","5,763",bashkortostan
Askarovo,Аскарово,Village,Abzelilovskij Rajon,"7,067","7,634","9,208",bashkortostan
Askino,Аскино,Village,Askinskij Rajon,"6,853","6,918","7,704",bashkortostan
Avdon,Авдон,Village,Ufimskij Rajon,"4,970","5,201","5,672",bashkortostan
Bajmak [Baymak],Баймак,City,Bajmakskij Rajon,"17,223","17,710","17,833",bashkortostan
Bakaly,Бакалы,Village,Bakalinskij Rajon,"9,514","9,568","10,282",bashkortostan
Belebej [Belebey],Белебей,City,Belebejevskij Rajon,"60,928","60,188","59,195",bashkortostan
Beloreck [Beloretsk],Белорецк,City,Beloreckij Rajon,"71,093","68,806","64,525",bashkortostan
Birsk,Бирск,City,Birskij Rajon,"39,992","41,635","44,295",bashkortostan
Bižbuljak [Bizhbulyak],Бижбуляк,Village,Bižbuljakskij Rajon,"6,373","6,446","6,626",bashkortostan
Blagoveščensk [Blagoveshchensk],Благовещенск,City,Blagoveščenskij Rajon,"32,989","34,239","35,481",bashkortostan
Bol'šeust'ikinskoje [Bolsheustyikinskoye],Большеустьикинское,Village,Mečetlinskij Rajon,"7,557","7,839","8,591",bashkortostan
Bulgakovo,Булгаково,Village,Ufimskij Rajon,"2,801","3,591","6,717",bashkortostan
Burajevo [Burayevo],Бураево,Village,Burajevskij Rajon,"8,946","9,522","10,752",bashkortostan
Buribaj [Buribay],Бурибай,Village,Chajbullinskij Rajon,"4,452","4,553","4,342",bashkortostan
Buzdjak [Buzdyak],Буздяк,Village,Buzdjakskij Rajon,"9,733","10,323","9,915",bashkortostan
Čekmaguš [Chekmagush],Чекмагуш,Village,Čekmaguševskij Rajon,"11,204","11,382","13,024",bashkortostan
Česnokovka [Chesnokovka],Чесноковка,Village,Ufimskij Rajon,"2,196","3,333","7,815",bashkortostan
Čišmy [Chishmy],Чишмы,Urban Settlement,Čišminskij Rajon,"21,008","21,196","22,597",bashkortostan
Davlekanovo,Давлеканово,City,Davlekanovskij Rajon,"23,860","24,073","21,834",bashkortostan
Djurtjuli [Dyurtyuli],Дюртюли,City,Djurtjulinskij Rajon,"29,984","31,274","31,185",bashkortostan
Dmitrijevka [Dmitriyevka],Дмитриевка,Village,Ufimskij Rajon,"3,789","4,351","5,072",bashkortostan
Dorogino,Дорогино,Hamlet,Ufimskij Rajon,...,225,"3,113",bashkortostan
Duvan,Дуван,Village,Duvanskij Rajon,"3,703","3,669","3,397",bashkortostan
Ènergetik [Energetik],Энергетик,Village,Neftekamsk,...,"3,450","3,350",bashkortostan
Fëdorovka [Fyodorovka],Фёдоровка,Village,Fëdorovskij Rajon,"4,128","4,306","4,185",bashkortostan
Iglino,Иглино,Village,Iglinskij Rajon,"13,931","16,811","31,169",bashkortostan
Inzer,Инзер,Village,Beloreckij Rajon,"4,380","4,329","4,107",bashkortostan
Išimbaj [Ishimbay],Ишимбай,City,Išimbajskij Rajon,"70,195","66,259","64,041",bashkortostan
